School ID,School Name,ncessch,school_id,school_name,leaid,latitude,longitude,census_tract,college_enroll_pct,salaries_crdc,free_or_reduced_price_lunch,teachers_certified_fte_crdc,counselors_fte_crdc,law_enforcement_fte_crdc,enrl_AP_crdc,FY 2017 Ending Budget,food_stamps,above_pov_rate,internet_rate,emp_rate_25_64,median_earnings,ds_pm_pred
609749,NORTHSIDE PREP HS,170993003481,3481,Northside College Preparatory High School,1709930,41.981351,-87.707935,17031831800,0.96,5719404.0,470.0,64.5,4.0,1.0,627,9894098,365,86.4,76.61552766155276,94.6,30148,71.9305
609737,VON STEUBEN HS,170993001180,1180,Von Steuben Metro Science High School,1709930,41.973222,-87.713126,17031831800,0.8029999999999999,8329470.0,1303.0,100.5,6.0,0.0,567,15605599,365,86.4,76.61552766155276,94.6,30148,71.9305
610391,LINDBLOM HS,170993005791,5791,Lindblom Math & Science Academy High School,1709930,41.78211,-87.672162,17031670600,0.946,6520020.5,892.0,82.5,4.0,3.0,662,11225332,185,53.5,43.96782841823057,52.5,24250,69.8533
609720,LANE TECH HS,170993000942,942,Lane Technical High School,1709930,41.945356,-87.690624,17031843700,0.9259999999999999,19039190.0,2100.0,231.0,10.0,0.0,3247,31323487,52,95.1,84.11214953271028,96.0,55938,70.7126
610402,DEVRY HS,170993005790,5790,Devry Advantage Academy High School,1709930,41.941039,-87.691119,17031843700,0.87,981791.75,137.0,10.5,1.0,0.0,130,2365254,52,95.1,84.11214953271028,96.0,55938,70.7126
609755,YOUNG HS,170993000714,714,Young Magnet High School,1709930,41.87827,-87.663686,17031833100,0.894,10478300.0,873.0,119.0,8.0,0.0,1111,17899161,395,87.6,88.03664921465969,98.2,89086,70.4221
609678,JONES HS,170993000990,990,Jones College Prep High School,1709930,41.874066,-87.628054,17031839000,0.888,8996421.0,735.0,109.6,7.0,0.0,1210,14343535,335,79.8,85.21186440677965,97.1,60016,69.7877
609738,LINCOLN PARK HS,170993001185,1185,Lincoln Park High School,1709930,41.919347,-87.645354,17031071200,0.8859999999999999,10498951.0,1166.0,127.5,6.0,0.0,723,17286653,36,90.1,90.06410256410257,99.2,66818,70.4959
610529,OGDEN HS,170993006093,6093,Ogden International High School,1709930,41.893928,-87.6585,17031243200,0.872,7618877.0,465.0,107.0,4.0,0.0,2,13726159,42,89.2,94.71982758620688,97.4,60411,70.7644
609751,KING HS,170993000931,931,King College Prep High School,1709930,41.813881,-87.602917,17031390300,0.8540000000000001,3808821.75,480.0,41.0,2.0,0.0,245,7185948,560,58.6,57.47046560111188,89.2,35371,69.392
