schoolid_cps,schoolname_cps,fullname_cps,schoolname2_cps,isbe_name_cps,street_number_cps,street_direction_cps,street_name_cps,city_cps,state_cps,zip_cps,cps_unit_cps,oracleid_cps,school_category_cps,community_area_number_cps,community_area_cps,geographicarea_cps,geographic_area_number_cps,cook_county_district_cps,census_block_cps,latitude_cps,longitude_cps,ncessch_num_cps,ncessch_cps,census_tract_cps
400054,Noble Street Chtr - Pritzker,Noble Street Charter - Pritzker College Prep,Noble Street Chtr - Pritzker,Noble Street Charter High School,4131,W,Cortland Ave,Chicago,IL,60639,1931.0,66142,HS,20.0,Hermosa,Logan,9.0,8.0,170318312003014,41.9152415488999,-87.7301268312999,170993003479,_170993003479,17031831200
609961,Heroes,Ninos Heroes Elementary Academic Center,Heroes,Ninos Heroes Elem Academic Ctr,8344,S,Commercial Ave,Chicago,IL,60617,3720.0,31101,ES,46.0,South Chicago,South Shore,11.0,4.0,170314603023000,41.8499857524999,-87.6338070176999,170993001128,_170993001128,17031460302
400018,Austin Bus & Entrp HS,Austin Business and Entrepreneurship Academy HS,Austin Bus & Entrp HS,Austin Bus & Entrepreneurship HS,231,N,Pine Ave,Chicago,IL,60644,7020.0,66411,HS,25.0,Austin,Austin,25.0,1.0,170312519003008,41.8852126906,-87.7632855866999,170993099980,_170993099980,17031251900
609861,Clissold,Henry R Clissold Elementary School,Clissold,Clissold Elem School,2350,W,110th Pl,Chicago,IL,60643,2820.0,22761,ES,75.0,Morgan Park,Beverly,3.0,11.0,170317502004005,41.9520695634999,-87.7064426106,170993000665,_170993000665,17031750200
610252,Dett,Robert Nathaniel Dett Elementary School,Dett,Dett Elem School,2131,W,Monroe St,Chicago,IL,60612,6740.0,26031,ES,28.0,Near West Side,Near West,23.0,1.0,170318380001012,41.9013896984,-87.6337299209999,170993000695,_170993000695,17031838000
610246,Beasley,Edward Beasley Elementary Magnet Academic Center,Beasley,Beasley Elem Magnet Academic Ctr,5255,S,State St,Chicago,IL,60609,6660.0,29321,ES,40.0,Washington Park,Bronzeville,15.0,2.0,170318361001008,41.8729124425999,-87.7533255674999,170993000668,_170993000668,17031836100
400021,Catalyst Chtr - Circle Rock,Catalyst Elementary School - Circle Rock,Catalyst Chtr - Circle Rock,Catalyst Circle Rock Elem School,5608,W,Washington Blvd,Chicago,IL,60644,4371.0,66432,ES,25.0,Austin,Austin,25.0,1.0,170312520002000,41.8822947832,-87.7653213759,170993005935,_170993005935,17031252000
610386,Peace & Education HS,Peace & Education Coalition High School,Peace & Education HS,Peace And Education Coalition HS,4946,S,Paulina St,Chicago,IL,60609,1123.0,67021,HS,61.0,New City,McKinley Park,17.0,7.0,170316113003011,41.8360356836,-87.7341216358999,170993002596,_170993002596,17031611300
610128,Garvey,Marcus Moziah Garvey Elementary School,Garvey,Garvey  M Elem School,10309,S,Morgan St,Chicago,IL,60643,5420.0,24951,ES,73.0,Washington Heights,Far South Side,22.0,5.0,170317307002000,41.8365273014999,-87.6183009625,170993000712,_170993000712,17031730700
610405,Suder,Suder Montessori Magnet ES,Suder,Suder Montessori Elem Magnet Schl,2022,W,Washington Blvd,Chicago,IL,60612,6340.0,26881,ES,28.0,Near West Side,Near West,23.0,1.0,170318378002014,41.7643796381,-87.7064440066999,170993005801,_170993005801,17031837800
