School ID,School Name,ncessch,school_id,school_name,leaid,latitude,longitude,census_tract,college_enroll_pct,salaries_crdc,free_or_reduced_price_lunch,teachers_certified_fte_crdc,counselors_fte_crdc,law_enforcement_fte_crdc,enrl_AP_crdc,FY 2017 Ending Budget,food_stamps,above_pov_rate,internet_rate,emp_rate_25_64,median_earnings,ds_pm_pred
609749,NORTHSIDE PREP HS,170993003481,3481,Northside College Preparatory High School,1709930,41.981351,-87.707935,17031831800,0.96,88672.93023255814,0.4438149197355996,0.060906515580736544,0.003777148253068933,0.0009442870632672333,0.5920679886685553,9342.868744098207,0.1696885169688517,86.4,76.61552766155276,94.6,30148,71.9305
609737,VON STEUBEN HS,170993001180,1180,Von Steuben Metro Science High School,1709930,41.973222,-87.713126,17031831800,0.8029999999999999,82880.29850746269,0.7549246813441484,0.05822711471610661,0.0034762456546929316,0.0,0.328505214368482,9041.482618771726,0.1696885169688517,86.4,76.61552766155276,94.6,30148,71.9305
610391,LINDBLOM HS,170993005791,5791,Lindblom Math & Science Academy High School,1709930,41.78211,-87.672162,17031670600,0.946,79030.55151515151,0.6732075471698113,0.062264150943396226,0.0030188679245283017,0.0022641509433962265,0.499622641509434,8471.948679245283,0.4959785522788204,53.5,43.96782841823057,52.5,24250,69.8533
609720,LANE TECH HS,170993000942,942,Lane Technical High School,1709930,41.945356,-87.690624,17031843700,0.9259999999999999,82420.73593073593,0.47286647151542444,0.05201531186669669,0.002251745102454402,0.0,0.7311416347669444,7053.250844404413,0.05399792315680166,95.1,84.11214953271028,96.0,55938,70.7126
610402,DEVRY HS,170993005790,5790,Devry Advantage Academy High School,1709930,41.941039,-87.691119,17031843700,0.87,93503.97619047618,0.7098445595854922,0.054404145077720206,0.0051813471502590676,0.0,0.6735751295336787,12255.20207253886,0.05399792315680166,95.1,84.11214953271028,96.0,55938,70.7126
609755,YOUNG HS,170993000714,714,Young Magnet High School,1709930,41.87827,-87.663686,17031833100,0.894,88052.94117647059,0.40435386753126445,0.05511811023622047,0.0037054191755442334,0.0,0.5145900880037054,8290.486799444187,0.10340314136125654,87.6,88.03664921465969,98.2,89086,70.4221
609678,JONES HS,170993000990,990,Jones College Prep High School,1709930,41.874066,-87.628054,17031839000,0.888,82084.13321167884,0.3941018766756032,0.05876675603217158,0.0037533512064343165,0.0,0.6487935656836461,7690.903485254692,0.07097457627118645,79.8,85.21186440677965,97.1,60016,69.7877
609738,LINCOLN PARK HS,170993001185,1185,Lincoln Park High School,1709930,41.919347,-87.645354,17031071200,0.8859999999999999,82344.71372549019,0.5549738219895288,0.0606853879105188,0.0028557829604950024,0.0,0.3441218467396478,8227.82151356497,0.038461538461538464,90.1,90.06410256410257,99.2,66818,70.4959
610529,OGDEN HS,170993006093,6093,Ogden International High School,1709930,41.893928,-87.6585,17031243200,0.872,71204.45794392523,0.5254237288135594,0.12090395480225989,0.004519774011299435,0.0,0.0022598870056497176,15509.78418079096,0.04525862068965517,89.2,94.71982758620688,97.4,60411,70.7644
609751,KING HS,170993000931,931,King College Prep High School,1709930,41.813881,-87.602917,17031390300,0.8540000000000001,92898.09146341463,0.8,0.06833333333333333,0.0033333333333333335,0.0,0.4083333333333333,11976.58,0.3891591382904795,58.6,57.47046560111188,89.2,35371,69.392
609726,BROOKS HS,170993002031,2031,Brooks College Prep Academy High School,1709930,41.694049,-87.615882,17031490901,0.85,88544.9074074074,0.7190426638917794,0.05619146722164412,0.004162330905306972,0.002081165452653486,0.6524453694068678,9135.785639958376,0.35140845070422533,83.5,71.3380281690141,75.3,25813,68.6159
400035,CHICAGO MATH & SCIENCE HS,170993005092,5092,Chicago Math & Science Elementary Charter,1709930,42.008825,-87.672858,17031010202,0.8490000000000001,49621.4,0.9358108108108109,0.07601351351351351,0.0033783783783783786,0.0,0.1891891891891892,11538.890202702703,0.25614754098360654,82.5,69.87704918032787,93.9,25643,70.2399
400094,EPIC HS,170993006088,6088,EPIC Academy High School,1709930,41.744942,-87.549779,17031460100,0.8420000000000001,118494.06896551725,0.9574861367837338,0.053604436229205174,0.0018484288354898336,0.0,0.059149722735674676,11069.430683918668,0.4425339366515837,59.5,67.51131221719457,79.7,25115,67.9392
609753,CHICAGO AGRICULTURE HS,170993005147,5147,Chicago High School for Agricultural Sciences,1709930,41.690023,-87.717329,17031740400,0.8420000000000001,94222.39204545454,0.4025069637883008,0.06128133704735376,0.002785515320334262,0.011142061281337047,0.05013927576601671,12811.679665738162,0.04565456545654566,96.3,73.54235423542355,96.5,50254,68.78359999999999
609746,KENWOOD HS,170993000925,925,Kenwood Academy High School,1709930,41.803407,-87.589655,17031390700,0.831,79779.31527093596,0.5982905982905983,0.05783475783475783,0.002849002849002849,0.0017094017094017094,0.22792022792022792,8221.753846153846,0.05019774870702769,80.6,76.33100091268633,88.9,44058,68.693
610340,CHICAGO ACADEMY HS,170993005061,5061,Chicago Academy High School,1709930,41.943327,-87.776988,17031171100,0.8290000000000001,72894.5294117647,0.8321033210332104,0.06273062730627306,0.0018450184501845018,0.0,0.17158671586715868,9807.69372693727,0.044444444444444446,89.7,75.47619047619048,97.0,36960,73.02199999999999
610524,ALCOTT HS,170993006072,6072,Alcott Humanities High School,1709930,41.935468,-87.680351,17031051400,0.825,78534.43548387097,0.8488745980707395,0.19935691318327975,0.006430868167202572,0.0,0.27009646302250806,26317.524115755627,0.08767471410419314,91.8,88.31003811944092,95.3,61000,70.7462
