School ID,School Name,ncessch,school_id,school_name_x,leaid_x,street_mailing,city_mailing,state_mailing,zip_mailing,street_location,city_location,state_location,zip_location,latitude_x,longitude_x,census_tract_x,hs_graduates,enrollment_crdc,tot_hhld_census_tract,college_enrollment,college_enrollment_pct,free_or_reduced_price_lunch,teachers_certified_fte_crdc,counselors_fte_crdc,law_enforcement_fte_crdc,salaries_crdc,enrl_AP_crdc,above_pov_rate,internet_rate,emp_rate_25_64,FY 2017 Ending Budget,food_stamps,median_earnings,ds_pm_pred,opportunity_index
400022,CHIARTS HS,170993006058,6058,Chicago HS for the Arts,1709930,2714 W Augusta Blvd,Chicago,IL,60622,2714 W Augusta Blvd,Chicago,IL,60622,41.899534,-87.695034,17031351000,126,620,2335,96,76.2,2.6611839657925636,-0.42760756245515363,-0.2870788297585056,-0.41820653452304923,-0.49957246528788657,1.3519890153631076,-0.05776878171815319,0.9105621098943085,0.6002988601441387,-0.6859993523961769,1.2203803673051823,0.8388895799376268,-1.2261050453267879,0.30622810207470874
400035,CHICAGO MATH & SCIENCE HS,170993005092,5092,Chicago Math & Sci Elem Charter,1709930,7212 N Clark St,Chicago,IL,60626,7212 N Clark St,Chicago,IL,60626,42.008825,-87.672858,17031010202,86,592,976,73,84.9,-0.4661879496156005,-0.09156202273733155,-0.23955086928860755,-0.41820653452304923,-1.1646803324101473,0.11885961379924441,0.47379781595903137,0.09639619140067428,0.5537109549971397,-0.40859489422979944,-0.05160732933625893,-0.46739406627265345,0.9413658419564944,-0.08643489079237414
400091,CHICAGO TECH HS,170993006076,6076,Chicago Technology Academy HS,1709930,1301 W 14th St,Chicago,IL,60608,1301 W 14th St,Chicago,IL,60608,41.863183,-87.659626,17031842900,78,240,1148,44,56.4,-0.42397731399253547,0.4164635978502098,0.006010259805865367,-0.41820653452304923,1.3517180651987428,-0.07558920138684005,-0.7753836885823521,-1.5398841936264285,0.4255942158428891,-0.08790792756925858,-0.8071114710805983,-0.570496365371129,0.31098586278645496,-0.1682911303575407
609750,SIMPSON HS,170993004383,4383,Simpson Acad HS for Young Women,1709930,1321 S Paulina St,Chicago,IL,60608,1321 S Paulina St,Chicago,IL,60608,41.864477,-87.668483,17031842900,20,42,1148,11,55,-0.11766914217092336,5.283530480800493,6.1249926807109984,-0.41820653452304923,3.9688707909191385,-0.9315391306143308,-0.7753836885823521,-1.5398841936264285,0.4255942158428891,4.06138208132278,-0.8071114710805983,-0.570496365371129,0.31098586278645496,1.1550050451087648
400094,EPIC HS,170993006088,6088,EPIC Academy High School,1709930,8255 S Houston Ave,Chicago,IL,60617,8255 S Houston Ave,Chicago,IL,60617,41.744942,-87.549779,17031460100,76,541,1105,64,84.2,-0.6038925608950814,-0.6659560130787842,-0.7161482547769563,-0.41820653452304923,0.005336086822005533,-0.6031335025748079,-1.0544561523628742,-0.07181392772395224,-1.1001596777213565,-0.4719236988812261,-1.2495714199474344,-0.5013118319573856,-2.3776533231499,-0.7560685239054465
400147,CAMELOT - EXCEL HS,170993006219,6219,Chicago Excel Academy HS,1709930,1257 W 111th St,Chicago,IL,60643,1257 W 111th St,Chicago,IL,60643,41.69194,-87.654321,17031750600,75,300,1208,17,22.7,-0.38691780678448845,-1.1001083399719163,0.2448359979308899,-0.41820653452304923,0.0381470679632187,-0.9315391306143308,-0.6026245443372675,-0.7754041815676818,-0.2732243613621092,-0.6148654286694953,-0.7623032802282396,-0.5555288664988892,0.19415476269853657,-0.45719881892037095
609674,CHICAGO VOCATIONAL HS,170993000943,943,Chicago Vocational Career Acad HS,1709930,2100 E 87th St,Chicago,IL,60617,2100 E 87th St,Chicago,IL,60617,41.737729,-87.572866,17031450300,217,880,1361,98,45.2,-0.4913582361889844,-0.4961981316970364,0.12400716599411858,-0.41820653452304923,-0.4357333685201768,-0.5908416157866809,0.5601773880815737,-0.16495763737416935,-0.517810863383858,-0.2735880841867537,-0.08647443557209322,-0.17620233928611792,-1.9413145623867527,-0.37757701960230616
609676,DUNBAR HS,170993000588,588,Dunbar Vocational Career Acad HS,1709930,3000 S King Dr,Chicago,IL,60616,3000 S King Dr,Chicago,IL,60616,41.839591,-87.618741,17031839200,151,457,1418,78,51.7,-0.5959524263724838,-0.0768768281895642,-0.6103105609192124,3.535656788559421,-0.04678128826013625,-0.9315391306143308,0.16150243982368526,0.5082872195034399,0.20430166639464062,0.34792318338115674,0.21680429727803588,-0.28386555005810854,-0.4773700821546433,0.1501369021824538
609678,JONES HS,170993000990,990,Jones College Prep High School,1709930,700 S State St,Chicago,IL,60605,700 S State St,Chicago,IL,60605,41.874066,-87.628054,17031839000,430,1865,4720,382,88.8,2.975320533112475,-0.5336343903084918,-0.12274239654431976,-0.41820653452304923,-0.6876230802561932,2.6706325880678414,0.2943940892429814,1.186741879105198,0.9264141961731376,-0.9276777743932185,1.1385576582020567,1.7406653274419255,-1.0528902404138258,0.5530732196081937
609679,PROSSER HS,170993000681,681,Prosser Career Academy HS,1709930,2148 N Long Ave,Chicago,IL,60639,2148 N Long Ave,Chicago,IL,60639,41.91938,-87.761802,17031191200,314,1394,988,228,72.6,-0.40912768566875374,-0.46414534254461703,-0.5098241349654513,-0.41820653452304923,-0.7138579138624528,0.20755899537300807,-0.3700641578534993,-1.0722291121401168,0.8099444333056378,-0.6436120504699001,0.22209852019300075,-0.6573464017456704,1.4671057923521271,-0.19628504558074897
