School ID,School Name,ncessch,school_id,school_name_x,leaid_x,street_mailing,city_mailing,state_mailing,zip_mailing,street_location,city_location,state_location,zip_location,latitude_x,longitude_x,census_tract_x,hs_graduates,enrollment_crdc,tot_hhld_census_tract,college_enrollment,college_enrollment_pct,free_or_reduced_price_lunch,teachers_certified_fte_crdc,counselors_fte_crdc,law_enforcement_fte_crdc,salaries_crdc,enrl_AP_crdc,above_pov_rate,internet_rate,emp_rate_25_64,FY 2017 Ending Budget,food_stamps,median_earnings,ds_pm_pred,opportunity_index
400022,CHIARTS HS,170993006058,6058,Chicago HS for the Arts,1709930,2714 W Augusta Blvd,Chicago,IL,60622,2714 W Augusta Blvd,Chicago,IL,60622,41.899534,-87.695034,17031351000,126,620,2335,-0.2068986355833458,0.6378127696160952,2.661183965792564,0.4276075624551536,0.2870788297585056,0.4182065345230492,-0.0394494160032015,1.3519890153631076,-0.0577687817181531,0.9105621098943084,0.6002988601441387,0.6859993523961769,1.2203803673051823,0.8388895799376268,-1.226105045326788,0.9216699177469547
400035,CHICAGO MATH & SCIENCE HS,170993005092,5092,Chicago Math & Sci Elem Charter,1709930,7212 N Clark St,Chicago,IL,60626,7212 N Clark St,Chicago,IL,60626,42.008825,-87.672858,17031010202,86,592,976,-0.3803492498909964,1.0376962313635327,-0.4661879496156005,0.0915620227373315,0.2395508692886075,0.4182065345230492,-1.8077407769995557,0.1188596137992444,0.4737978159590313,0.0963961914006742,0.5537109549971397,0.4085948942297994,-0.0516073293362589,-0.4673940662726534,0.9413658419564944,0.08482243558496326
400091,CHICAGO TECH HS,170993006076,6076,Chicago Technology Academy HS,1709930,1301 W 14th St,Chicago,IL,60608,1301 W 14th St,Chicago,IL,60608,41.863183,-87.659626,17031842900,78,240,1148,-0.5990478505397733,-0.2722668329815207,-0.4239773139925354,-0.4164635978502098,-0.0060102598058653,0.4182065345230492,0.6950538245628262,-0.07558920138684,-0.7753836885823521,-1.5398841936264285,0.4255942158428891,0.0879079275692585,-0.8071114710805983,-0.570496365371129,0.3109858627864549,-0.2962837138346803
609750,SIMPSON HS,170993004383,4383,Simpson Acad HS for Young Women,1709930,1321 S Paulina St,Chicago,IL,60608,1321 S Paulina St,Chicago,IL,60608,41.864477,-87.668483,17031842900,20,42,1148,-0.8479117754159676,-0.3366158957914531,-0.1176691421709233,-5.283530480800493,-6.1249926807109984,0.4182065345230492,-1.6396799482793762,-0.9315391306143308,-0.7753836885823521,-1.5398841936264285,0.4255942158428891,-4.06138208132278,-0.8071114710805983,-0.570496365371129,0.3109858627864549,-2.1916935380955334
400094,EPIC HS,170993006088,6088,EPIC Academy High School,1709930,8255 S Houston Ave,Chicago,IL,60617,8255 S Houston Ave,Chicago,IL,60617,41.744942,-87.549779,17031460100,76,541,1105,-0.4482212294026858,1.0055216999585663,-0.6038925608950814,0.6659560130787842,0.7161482547769563,0.4182065345230492,1.8107428296726065,-0.6031335025748079,-1.0544561523628742,-0.0718139277239522,-1.1001596777213565,0.4719236988812261,-1.2495714199474344,-0.5013118319573856,-2.3776533231499,-0.15630640584625452
400147,CAMELOT - EXCEL HS,170993006219,6219,Chicago Excel Academy HS,1709930,1257 W 111th St,Chicago,IL,60643,1257 W 111th St,Chicago,IL,60643,41.69194,-87.654321,17031750600,75,300,1208,-0.8026637890748414,-1.82124070204918,-0.3869178067844884,1.1001083399719165,-0.2448359979308899,0.4182065345230492,4.790225775885872,-0.9315391306143308,-0.6026245443372675,-0.7754041815676818,-0.2732243613621092,0.6148654286694953,-0.7623032802282396,-0.5555288664988892,0.1941547626985365,-0.06261873976077967
609674,CHICAGO VOCATIONAL HS,170993000943,943,Chicago Vocational Career Acad HS,1709930,2100 E 87th St,Chicago,IL,60617,2100 E 87th St,Chicago,IL,60617,41.737729,-87.572866,17031450300,217,880,1361,-0.1918159734696371,-0.7870593354609801,-0.4913582361889844,0.4961981316970364,-0.1240071659941185,0.4182065345230492,0.2777473421885484,-0.5908416157866809,0.5601773880815737,-0.1649576373741693,-0.517810863383858,0.2735880841867537,-0.0864744355720932,-0.1762023392861179,-1.9413145623867527,-0.0685330856413251
609676,DUNBAR HS,170993000588,588,Dunbar Vocational Career Acad HS,1709930,3000 S King Dr,Chicago,IL,60616,3000 S King Dr,Chicago,IL,60616,41.839591,-87.618741,17031839200,151,457,1418,-0.3426425946067246,-0.4882958295577223,-0.5959524263724838,0.0768768281895642,0.6103105609192124,-3.535656788559421,-0.1362449911506482,-0.9315391306143308,0.1615024398236852,0.5082872195034399,0.2043016663946406,-0.3479231833811567,0.2168042972780358,-0.2838655500581085,-0.4773700821546433,-0.31364914239985753
609678,JONES HS,170993000990,990,Jones College Prep High School,1709930,700 S State St,Chicago,IL,60605,700 S State St,Chicago,IL,60605,41.874066,-87.628054,17031839000,430,1865,4720,1.9499220466770049,1.2169543349054868,2.975320533112475,0.5336343903084918,0.1227423965443197,0.4182065345230492,-0.1021895079897269,2.670632588067841,0.2943940892429814,1.186741879105198,0.9264141961731376,0.9276777743932184,1.138557658202057,1.7406653274419257,-1.0528902404138258,1.3158777918712075
609679,PROSSER HS,170993000681,681,Prosser Career Academy HS,1709930,2148 N Long Ave,Chicago,IL,60639,2148 N Long Ave,Chicago,IL,60639,41.91938,-87.761802,17031191200,314,1394,988,0.7885570639214314,0.4723437509619829,-0.4091276856687537,0.464145342544617,0.5098241349654513,0.4182065345230492,-0.3418006497474434,0.207558995373008,-0.3700641578534993,-1.0722291121401168,0.8099444333056378,0.6436120504699001,0.2220985201930007,-0.6573464017456704,1.4671057923521271,0.11927606696385973
