Unit,Unit Name,FY 2016 Ending Budget,FY 2017 Ending Budget,FY 2018 Proposed Budget,Budget ,FY 2016 Budgeted Positions,FY 2017 Budgeted Positions,FY 2018 Approved Positions,Positions ,
46101,Eric Solorio Academy High School,"10,129,871","10,666,231","10,709,294","43,063",112.2,115,120,5,5
66331,Erie Elementary Charter School,"4,534,137","4,442,085","5,030,663","588,578",2,2,2,0,5
25031,Ernst Prussing,"5,793,506","5,898,376","5,465,080","-433,295",56,58,55,-3,5
23131,Esmond Elementary School,"3,346,828","3,406,768","3,161,368","-245,399",35,29.5,31,1.5,5
23211,Eugene Field School,"2,871,638","2,123,355","1,880,781","-242,574",33,21,19.5,-1.5,5
22871,Everett Mckinley Dirksen School,"6,472,028","7,126,193","6,949,004","-177,189",59.5,61.5,64,2.5,5
26461,Evergreen Academy School,"3,534,438","3,163,353","3,154,232","-9,121",33.5,33,32,-1,5
63144,Excel Academy - Southwest,"2,167,907","2,215,186","2,122,224","-92,962",0,0,1,1,5
63143,Excel Academy - Woodlawn,"2,648,597","2,337,984","2,318,189","-19,795",0,0,0,0,5
63142,Excel Academy of Englewood,"3,083,926","2,418,514","2,028,917","-389,597",1,0,0,0,5
10710,Executive Office,"1,727,229","1,505,129","1,295,792","-209,337",9,8,8,0,5
14040,External Affairs and Partnerships,"436,915","352,682",0,"-352,682",4,2,0,-2,5
69587,Ezzard Charles School,"53,783","24,248",0,"-24,248",0,0,0,0,5
11860,Facility Operations & Maintenance,"2,046,510","1,963,452","1,876,833","-86,620",18,14,14,0,5
11880,Facility Opers & Maint - City Wide,"287,919,624","299,585,308","314,623,479","15,038,171","1,372.00","1,358.00","1,073.00",-285,5
26701,Fairfield Academy,"4,719,609","4,614,974","4,617,892","2,918",51,46.5,48,1.5,5
14060,Family & Community Engagement Office,"6,166,887","5,564,197","6,373,652","809,456",27,31,33,2,5
28221,Faraday Multiplex,"24,551","28,943",0,"-28,943",0,0,0,0,5
69594,Fasman Yeshiva HS,"1,438",0,0,0,0,0,0,0,5
22341,Federico Garcia Lorca Elementary School,"6,799,849","6,815,444","6,575,335","-240,109",78.5,73.5,69,-4.5,5
50191,Fenger Achievement Academy,0,100,0,-100,0,0,0,0,5
24871,Ferdinand W Peck School,"13,049,572","11,311,127","8,391,093","-2,920,034",144,140.5,100.5,-40,5
28231,Fermi Multiplex,"18,884",0,0,0,0,0,0,0,5
23201,Fernwood School,"3,020,046","2,792,990","2,751,782","-41,209",30.5,31,33,2,5
11810,Finance,"6,137,120","12,227,674","5,756,120","-6,471,554",0,2,2,0,5
26101,Florence B Price Elementary School,"2,200","3,071",0,"-3,071",0,0,0,0,5
24671,Florence Nightingale School,"10,580,224","10,141,327","9,824,178","-317,148",105.5,110,107,-3,5
23241,Fort Dearborn Elementary School,"4,046,779","3,863,914","3,936,599","72,684",38,39,40,1,5
23261,Foster Park School,"4,219,530","3,905,651","4,188,831","283,180",41,45,44,-1,5
66941,Foundations College Preparatory Charter School,"1,816,551","2,566,509","3,108,095","541,585",2,2,2,0,5
24451,Francis M Mckay School,"7,847,630","7,778,091","7,705,045","-73,046",79.5,79,78,-1,5
24001,Francis Scott Key School,525,250,0,-250,0,0,0,0,5
31181,Francis W Parker Community Academy,"6,564,206","5,991,916","5,229,131","-762,785",72.5,65,57,-8,5
69016,Francis W. Parker School,"3,575","6,300",0,"-6,300",0,0,0,0,5
41041,Francisco I Madero Middle School,"3,132,496","3,307,054","3,355,716","48,663",30.5,31.5,31,-0.5,5
22241,Frank I Bennett School,"3,449,992","3,271,219","2,941,951","-329,267",32,29,29,0,5
23321,Frank L Gillespie School,"5,235,892","5,120,471","4,901,829","-218,642",56,54,52,-2,5
29121,Frank W Gunsaulus Scholastic Academy School,"6,711,315","6,594,256","6,601,685","7,429",67,67.5,68,0.5,5
25101,Frank W Reilly School,"8,619,133","8,294,984","7,995,466","-299,518",93,88,84,-4,5
29081,Franklin Fine Arts Center,"3,543,882","3,561,091","3,190,846","-370,245",35.5,32,33.5,1.5,5
25291,Franz Peter Schubert School,"7,279,964","6,937,393","6,682,498","-254,895",72,73,66.5,-6.5,5
29411,Frazier International Magnet Elementary School,"3,041,043","2,908,608","2,485,655","-422,952",29,28,26,-2,5
28131,Frazier Multiplex,"14,073",0,0,0,0,0,0,0,5
26901,Frazier Prepartatory Academy,"4,211,784","4,153,432","4,188,856","35,424",4,4,4,0,5
22721,Frederic Chopin School,"5,828,684","5,792,047","5,004,450","-787,597",62.5,61.5,58,-3.5,5
41061,Frederick A Douglass Academy High School,"3,208,517","2,573,479","2,182,960","-390,519",31,28.5,22,-6.5,5
23291,Frederick Funston School,"4,602,995","4,736,068","4,321,113","-414,955",50,49,51.5,2.5,5
30081,Frederick Stock School,"3,653,393","3,720,318","3,766,887","46,569",41,43.5,44,0.5,5
47081,Frederick W Von Steuben Metropolitan Science Center,"14,970,699","15,605,599","14,736,316","-869,283",139.5,140,139.5,-0.5,5
10406,Freedom of Information Act Office,0,"224,000","467,888","243,888",0,0,5,5,5
23921,Friedrich L. Jahn Elementary of the Fine Arts,"3,564,808","3,649,701","3,362,330","-287,371",35.5,35,36,1,5
69103,GFP/Other Private Schools,"31,908","78,961",0,"-78,961",0,0,0,0,5
46141,Gage Park High School,"5,946,320","6,417,880","4,837,444","-1,580,436",53,51.5,55.5,4,5
66341,Galapagos Charter School,"3,113,697","22,878",0,"-22,878",0,0,0,0,5
29141,Galileo Scholastic Academy Of Math & Science,"5,061,761","4,999,227","4,869,522","-129,705",47.5,50,47.5,-2.5,5
68100,Gately Stadium,"5,128","22,459",0,"-22,459",0,0,0,0,5
26351,Genevieve Melody School,"5,720,515","5,269,040","5,096,392","-172,648",59,57.5,57,-0.5,5
22081,George Armstrong Elementary School,"11,828,221","12,170,803","10,842,203","-1,328,600",120,114.5,113.5,-1,5
24421,George B McClellan Elementary School,"3,726,558","3,961,193","3,787,476","-173,717",43,44,44,0,5
25571,George B Swift Specialty School,"6,236,089","6,049,315","5,859,511","-189,804",64,62,63,1,5
22651,George F Cassell School,"4,012,971","4,314,567","4,225,124","-89,444",45,45,50,5,5
46391,George Henry Corliss High School,"6,089,125","5,540,143","4,678,879","-861,264",61.5,57,50,-7,5
26391,George Leland Elementary School,"5,910,490","5,462,163","4,880,840","-581,323",61.5,60,49,-11,5
25041,George M Pullman School,"3,192,780","3,413,060","3,349,889","-63,171",31,36,39,3,5
24311,George Manierre School,"4,658,401","4,692,515","4,136,403","-556,112",49.5,47,46,-1,5
22191,George Rogers Clark Elementary School,"2,954,453","2,747,940","2,412,235","-335,706",31.5,27.5,26.5,-1,5
26071,George T Donoghue School,"20,552","10,352",0,"-10,352",0,0,0,0,5
23061,George W Curtis Elementary School,"5,413,652","5,082,856","4,970,442","-112,414",67,64,56,-8,5
25621,George W Tilton School,"3,768,814","3,614,324","3,367,301","-247,023",42,41,37,-4,5
22621,George Washington Carver Elementary,"5,078,922","5,167,381","5,193,619","26,238",49,51.5,52,0.5,5
46331,George Washington High School,"12,817,801","12,888,310","12,049,371","-838,939",140,138,134,-4,5
25771,George Washington School,"6,753,277","7,012,897","6,734,104","-278,793",66,69,68,-1,5
53071,George Westinghouse Career Academy,"10,274,267","10,370,053","10,190,781","-179,272",104,102,105,3,5
29071,Gerald Delgado Kanoon Magnet School,"6,118,841","5,633,533","5,464,661","-168,872",64,62,57,-5,5
69031,Gesher HaTorah Day School,"56,110",0,0,0,0,0,0,0,5
69311,Gloria Dei Lutheran School,"36,607","15,122",0,"-15,122",0,0,0,0,5
69569,Grace English Lutheran,"96,570","40,116",0,"-40,116",0,0,0,0,5
69313,Grace Lutheran School,"159,554","77,143",0,"-77,143",0,0,0,0,5
25481,Graeme Stewart Elementary School,"1,365",0,0,0,0,0,0,0,5
12620,Grant Funded Programs Office,"2,868,219","1,822,028","4,661,509","2,839,481",25,11,17,6,5
12625,Grant Funded Programs Office - City Wide,"2,525,343","1,088,539","30,626,842","29,538,303",10,0,5,5,5
44011,Grant Multiplex,"5,869",0,0,0,0,0,0,0,5
66951,Great Lakes Academy Charter School,"2,176,360","2,680,474","3,472,698","792,224",1,1,2,1,5
22741,Grover Cleveland School,"6,504,981","6,482,423","5,799,971","-682,452",62.5,69.5,63,-6.5,5
46341,Gurdon S Hubbard High School,"15,924,317","16,741,626","16,217,549","-524,077",153,153,156,3,5
47051,Gwendolyn Brooks,"7,803,525","8,779,490","8,684,223","-95,267",71.2,79,83,4,5
69368,Hales Franciscan High School-B,"92,712","4,655",0,"-4,655",0,0,0,0,5
46021,Hancock High School,"8,810,092","8,207,701","7,945,061","-262,640",84.5,81,77.5,-3.5,5
69141,Hanna Sachs Bias Yaakov High School Of Chicago,"96,827","106,790",0,"-106,790",0,0,0,0,5
25431,Hannah G Solomon School,"3,991,214","3,894,599","3,850,298","-44,301",38,40,43.5,3.5,5
68020,Hansen Park Stadium,0,"31,231",0,"-31,231",0,0,0,0,5
24461,Hanson Park School,"14,831,073","14,917,728","14,277,203","-640,525",150,156,153.5,-2.5,5
51021,Harlan Community Academy High School,"7,732,662","6,872,795","5,279,376","-1,593,420",81.5,68.5,55,-13.5,5
24921,Harold Washington School,"3,995,326","3,820,722","3,437,199","-383,523",41.5,37,35,-2,5
46151,Harper High School,"4,453,877","3,616,671","2,731,601","-885,070",51.5,40,30,-10,5
25521,Harriet Beecher Stowe School,"7,318,386","6,792,013","6,132,641","-659,373",72,72,64.5,-7.5,5
29271,Harriet E Sayre Language Academy,"3,794,698","3,757,763","3,612,708","-145,055",41.5,40.5,38.5,-2,5
29131,Hawthorne Scholastic Academy,"5,213,000","5,202,952","4,836,121","-366,831",51,51,50,-1,5
11953,Hayes,0,"7,607",0,"-7,607",0,0,0,0,5
50061,Hayes APC,"36,743","8,632",0,"-8,632",0,0,0,0,5
24891,Helen C Peirce School Of International Studies,"8,150,213","8,368,058","7,971,455","-396,604",79,81,82,1,5
23711,Helen M Hefferan School,"4,207,081","3,960,989","3,874,582","-86,408",42,45,40,-5,5
23591,Helge A Haugan,"9,032,034","8,540,331","7,914,014","-626,317",98.5,92,86,-6,5
22731,Henry Clay Elementary School,"5,418,645","5,488,687","5,425,685","-63,002",54,53,54,1,5
24221,Henry D Lloyd School,"9,542,449","9,070,171","8,919,833","-150,338",100,96.5,94,-2.5,5
24641,Henry H Nash School,"3,184,105","3,087,698","2,845,104","-242,594",36.5,33,30,-3,5
26281,Henry O Tanner School,"3,992,037","3,803,746","3,753,625","-50,121",41,40,40,0,5
22761,Henry R Clissold School,"5,099,970","5,022,891","4,885,777","-137,114",60,57.5,54.5,-3,5
25441,Herbert Spencer Math & Science Academy,"6,892,500","6,610,243","6,162,385","-447,858",74.5,71,66,-5,5
69595,Hillel Torah,"49,961","36,177",0,"-36,177",0,0,0,0,5
22221,Hiram H Belding School,"4,924,903","4,801,643","4,554,250","-247,393",50,48.5,46.5,-2,5
69045,Holman Leadership Academy,"5,880",0,0,0,0,0,0,0,5
69124,Holy Angels School,"164,315","70,789",0,"-70,789",0,0,0,0,5
69478,Holy Family Lutheran,"301,138","180,549",0,"-180,549",0,0,0,0,5
69127,Holy Family School,"1,250",0,0,0,0,0,0,0,5
69372,Holy Trinity High School,"149,018","64,121",0,"-64,121",0,0,0,0,5
49091,Hope College Prep HS,"3,555,646","3,088,179","3,109,000","20,821",35.5,35,37.5,2.5,5
63031,Hope Institute Learning Academy,"4,590,249","4,408,179","4,598,037","189,858",4,4,4,0,5
22661,Horace Greeley School,"6,089,668","5,590,855","5,329,990","-260,865",67,60,56,-4,5
24331,Horace Mann School,"5,655,930","5,335,335","3,657,508","-1,677,826",39,45,41,-4,5
63181,Horizon Science Academy - Southwest Chicago Charter,"6,372,568","7,811,498","8,382,288","570,790",2,2,2,0,5
66521,Howland Multiplex,"12,510","9,796",0,"-9,796",0,0,0,0,5
22451,Hughes/Davis,"5,795,094","5,906,495","5,410,710","-495,785",63.5,59.5,55.5,-4,5
11070,Human Capital Office - City Wide,"5,351,324","7,489,404","6,303,538","-1,185,866",3,24,14,-10,5
69506,Humboldt Community Christian S Chool,"153,308","108,617",0,"-108,617",0,0,0,0,5
46171,Hyde Park Career Academy,"8,831,583","8,565,506","8,048,185","-517,321",93,86,82,-4,5
45221,Hyman G. Rickover Naval Academy,"5,680,593","5,715,956","5,313,464","-402,492",52,52,51,-1,5
69537,ICC Full Time School,"28,696","6,908",0,"-6,908",0,0,0,0,5
69361,Ida Crown Jewish Academy High School,"5,540","31,959",0,"-31,959",0,0,0,0,5
69139,Immaculate Conception School,"196,405","80,422",0,"-80,422",0,0,0,0,5
69042,Immaculate Conception School (North Park ),"1,698",0,0,0,0,0,0,0,5
70140,Independent Schools Of Chicago,"919,015","686,701",0,"-686,701",0,0,0,0,5
55151,Infinity Math,"4,299,849","4,415,800","4,043,653","-372,147",41,41,39,-2,5
12510,Information & Technology Services,"77,945,526","82,747,665","78,507,252","-4,240,413",157,117,129,12,5
13610,Innovation and Incubation Office,"2,644,387","2,146,200","2,789,755","643,555",15,9,10,1,5
10320,Inspector General,"2,158,407","2,202,129","2,080,916","-121,213",17,18,18,0,5
63131,Instituto Health Sciences Career Academy,"9,281,243","9,080,841","8,738,291","-342,550",0,0,0,0,5
63132,Instituto Justice and Leadership Academy Charter HS,"1,670,715","1,165,468","989,411","-176,057",0,0,0,0,5
11551,Instructional Supports,"14,262,599","11,519,944","14,733,751","3,213,808",5,5,12,7,5
29191,Inter-American Magnet,"5,777,620","6,170,082","5,723,074","-447,007",53.5,56.5,58,1.5,5
10450,Intergovernmental Affairs,"1,911,281","1,232,552","1,430,729","198,176",16,9,9,0,5
66691,Intrinsic School,"9,707,559","11,729,728","12,081,993","352,265",4,5,6,1,5
22641,Ira F Aldridge Elementary School,"1,994,492","1,835,859","1,827,936","-7,923",25,22,22,0,5
22441,Irene C. Hernandez Middle School for the Advancement of the Sciences,"7,685,044","8,053,943","8,233,189","179,247",78,83,85,2,5
24931,Irma C Ruiz School,"7,091,779","6,859,123","6,630,314","-228,809",72.5,69,68,-1,5
26251,Irvin C Mollison School,"4,263,465","4,091,074","3,710,700","-380,373",46.5,39,38,-1,5
24751,Isabell C O'Keeffe School,"5,910,280","5,516,694","5,686,031","169,337",67,69,71,2,5
69010,Islamic Community Center of IL,"42,441","13,429",0,"-13,429",0,0,0,0,5
23341,J W Von Goethe School,"6,231,493","6,327,653","6,025,914","-301,739",74,73,71,-2,5
5261,JROTC Department,"2,266,807","2,035,888","2,799,196","763,308",12,12,11,-1,4
26061,Jackie R Robinson,"1,699,042","1,825,734","1,638,749","-186,985",18,17,18,1,5
22211,Jacob Beidler School,"4,509,846","4,254,673","4,309,611","54,938",53,51,49,-2,5
49081,Jacqueline B Vaughn Occupational High School,"4,948,204","5,108,268","5,635,481","527,214",46.5,66.5,72,5.5,5
23161,James B Farnsworth School,"6,358,655","6,440,159","6,596,927","156,768",64.5,67.5,69.5,2,5
24471,James B Mcpherson Elementary School,"8,508,933","8,514,878","8,038,147","-476,730",94,96,91,-5,5
29181,James E Mcdade Classical School,"2,079,687","1,937,148","1,914,367","-22,781",17,20,20,0,5
22261,James G Blaine School,"6,761,556","7,269,437","5,947,814","-1,321,623",63.5,65.5,63.5,-2,5
23681,James Hedges School Main,"6,265,009","6,341,902","5,718,894","-623,008",75,65.5,62,-3.5,5
24301,James Madison School,"2,835,034","2,750,066","2,518,798","-231,268",26,29,25,-4,5
24531,James Monroe School,"7,982,666","7,813,654","7,092,490","-721,165",78,78,71,-7,5
25601,James N Thorp Elementary School,"4,281,932","3,960,580","4,039,504","78,924",46,46,45,-1,5
24791,James Otis School,"6,117,650","5,650,317","5,299,179","-351,138",66.5,63.5,60,-3.5,5
22991,James R Doolittle Jr Intermediate & Upper Cycle East,"3,042,811","2,901,583","2,748,754","-152,830",34,32,32,0,5
24251,James Russell Lowell Elementary School,"5,829,734","5,483,099","5,546,747","63,648",72.5,60.5,62.5,2,5
25361,James Shields Elementary School,"8,553,045","7,888,597","7,387,361","-501,236",86,84,79,-5,5
27091,James Shields Middle School,"5,831,458","5,853,286","5,518,921","-334,364",60,59,59,0,5
25711,James Wadsworth School,"5,447,575","5,472,187","5,503,000","30,812",58,57,59,2,5
25751,James Ward Elementary School,"4,544,693","4,726,235","4,572,338","-153,898",49,49,49,0,5
26231,James Weldon Johnson Elementary School of Excellence,"4,323,539","4,120,752","4,179,567","58,815",42,51,50,-1,5
24651,Jane A Neil School,"5,252,947","5,219,750","5,049,131","-170,619",63,65.5,67,1.5,5
22021,Jane Addams School,"6,957,072","6,058,245","5,817,546","-240,699",67,55.5,56,0.5,5
22201,Jean Baptiste Beaubien School,"7,882,898","8,004,748","7,570,355","-434,393",75,74,74,0,5
29341,Jensen Scholastic Academy School,"4,438,890","4,296,356","4,003,687","-292,668",45.5,44,42,-2,5
31071,Jesse Owens Community Academy,"1,094",44,0,-44,0,0,0,0,5
23351,Jesse Owens Elementary Community Academy,"5,358,250","4,707,719","4,312,726","-394,993",60.5,56.5,49.5,-7,5
25351,Jesse Sherwood School,"3,677,241","3,679,338","3,249,928","-429,410",39,38,34,-4,5
69585,Jewish Children Family Services,"109,816","21,447",0,"-21,447",0,0,0,0,5
69314,Joan Dachs Bais Yaakov Elem,"215,249","182,701",0,"-182,701",0,0,0,0,5
25731,John A Walsh Elementary School,"4,396,835","4,202,541","3,822,199","-380,342",48.5,47.5,44.5,-3,5
23011,John B Drake School,"4,828,293","4,676,622","3,873,410","-803,212",49.5,44,39,-5,5
24621,John B Murphy School,"4,986,676","5,001,630","4,836,858","-164,772",52,51,50,-1,5
22141,John Barry Elementary School,"6,055,428","5,676,854","5,432,095","-244,760",66,61,56,-5,5
22481,John C Burroughs School,"4,341,420","4,351,379","4,110,707","-240,672",45,43,42,-1,5
22821,John C Coonley School,"7,316,736","7,588,111","7,360,461","-227,650",73,84.5,82.5,-2,5
23001,John C Dore School,"5,281,856","5,418,261","5,617,553","199,292",55,57,58.5,1.5,5
23481,John C Haines School,"5,287,419","5,338,809","5,165,030","-173,779",51,53.5,53,-0.5,5
26001,John Calhoun North School,350,250,0,-250,0,0,0,0,5
25381,John D Shoop Elementary School,"4,428,802","4,259,531","3,998,285","-261,246",42.5,42,42,0,5
23041,John F Eberhart School,"11,601,764","11,006,222","10,740,009","-266,213",119,116,114.5,-1.5,5
46201,John F Kennedy High School,"15,853,640","15,442,674","15,140,643","-302,031",154.5,159,151,-8,5
23221,John Fiske School,"5,178,124","4,755,473","4,568,489","-186,984",57,50,47,-3,5
26141,John Foster Dulles Elementary School of Excellence,"6,192,990","5,672,042","5,271,718","-400,324",77,73,63.5,-9.5,5
25861,John Greenleaf Whittier School,"3,116,490","2,979,018","2,617,791","-361,228",30.5,29.5,25.5,-4,5
23441,John Gregory School,"4,156,313","3,622,913","3,484,566","-138,347",44.5,42,38,-4,5
23511,John H Hamline Elementary School,"6,007,069","5,749,009","5,527,207","-221,801",69,65.5,61,-4.5,5
24071,John H Kinzie Elementary School,"7,215,484","7,301,698","6,913,853","-387,845",73,74,73,-1,5
29311,John H Vanderpoel Magnet School,"2,865,998","2,922,779","2,877,171","-45,608",26.5,27.5,28.5,1,5
23581,John Harvard Elementary School of Excellence,"3,893,803","3,832,577","3,617,352","-215,225",47,43.2,46.5,3.3,5
31111,John Hay Community Academy School,"3,993,052","3,746,255","3,470,134","-276,121",45,42,36,-6,5
29251,John J. Pershing East Magnet School,"4,755,734","5,521,636","5,558,822","37,186",51,52.5,55.5,3,5
26871,John J. Pershing West Magnet School for the Humanities,0,"63,760",0,"-63,760",0,0,0,0,5
24361,John L Marsh School,"7,306,242","6,992,593","6,684,792","-307,801",77,72.5,72,-0.5,5
24821,John M Palmer School,"6,983,078","6,856,758","6,492,699","-364,059",69,65,64,-1,5
25411,John M Smyth Elementary School,"5,438,558","5,214,940","4,951,696","-263,243",55,59,58,-1,5
47041,John Marshall Metropolitan High School,"6,623,884","5,789,239","4,277,578","-1,511,661",64,54,44,-10,5
25451,John Spry Community School,"5,641,887","5,399,286","5,192,703","-206,583",63.5,58,56,-2,5
26201,John T Mccutcheon School,"5,484,409","5,242,634","4,786,739","-455,895",65.5,64,61,-3,5
24971,John T Pirie Fine Arts & Academic Center,"3,169,410","3,132,124","3,008,788","-123,336",33.5,34,31,-3,5
22801,John W Cook Elementary School,"4,153,009","4,035,258","3,986,266","-48,992",38,41,40,-1,5
23301,John W Garvy School,"6,061,303","6,123,254","5,741,924","-381,331",61,62,59,-3,5
25831,John Whistler Elementary School,"2,880,078","3,043,687","3,335,128","291,440",28.5,29,36,7,5
26751,Johnnie Colemon School,"2,607,105","2,561,090","2,444,522","-116,569",27.5,25.5,24.5,-1,5
22471,Jonathan Burr Elementary School,"3,640,992","3,738,975","3,482,787","-256,189",41,42,37,-5,5
25241,Jonathan Y Scammon School,"6,915,546","6,309,744","6,218,924","-90,821",72,69,67,-2,5
22811,Jordan Community School,"5,127,110","4,951,293","4,546,220","-405,073",57,53.5,50.5,-3,5
31261,Jose De Diego Community Academy,"6,897,157","6,562,473","6,346,655","-215,818",83,72,72,0,5
23411,Josefa Ortiz De Dominguez Elementary School New Gary,"5,473,780","5,230,797","4,862,650","-368,147",60.5,57,53,-4,5
25991,Joseph Brennemann School,"5,027,077","4,456,262","4,279,816","-176,445",65,57.5,54,-3.5,5
23311,Joseph E Gary School,"9,353,855","8,971,156","9,351,320","380,164",108,107.5,110,2.5,5
23961,Joseph Jungman School,"3,373,053","3,447,013","3,644,116","197,102",37,39,44,5,5
23251,Joseph Kellman Corporate Community School,"3,589,965","3,251,603","3,063,103","-188,500",38,33,31,-2,5
24241,Joseph Lovett School,"3,966,752","3,890,209","3,340,202","-550,007",38,35.5,33,-2.5,5
25502,Joseph Stockton Child-Parent-Center - Stockton,"27,667","27,962","27,811",-152,1,1,1,0,5
25761,Joseph Warren Elementary School,"2,695,244","2,687,705","2,457,191","-230,515",30,28.5,26,-2.5,5
24231,Josephine C Locke School,"11,624,040","11,485,691","10,989,763","-495,928",117.5,115.5,114,-1.5,5
69375,Josephinum High School,"47,425","74,672",0,"-74,672",0,0,0,0,5
23991,Joshua D Kershaw Elementary School,"3,202,803","3,110,100","3,283,619","173,519",31.5,34.5,32.5,-2,5
24961,Josiah L Pickard School,"4,840,287","4,786,614","4,258,003","-528,611",57,48,46.5,-1.5,5
24021,Joyce Kilmer School,"7,351,859","7,783,296","7,666,079","-117,217",78,78,83,5,5
26041,Julia C Lathrop School,"18,448","2,600",0,"-2,600",0,0,0,0,5
23851,Julia Ward Howe School,"4,385,735","4,166,740","4,001,654","-165,086",55,49.5,49,-0.5,5
66261,KIPP Ascend Charter School,"6,140,728","9,338,663","9,552,981","214,318",4,3,3,0,5
66932,KIPP Ascend Primary Charter,"2,204,861","11,821",0,"-11,821",0,0,0,0,5
66032,KIPP One Academy,0,"1,880,131","3,864,399","1,984,268",0,0,0,0,5
66931,KIPP-Bloom,"2,433,272","3,091,628","3,531,441","439,814",0,0,0,0,5
46371,KIng Selective Enrollment HS,"7,586,979","7,185,948","6,737,323","-448,625",81,74.5,70,-4.5,5
23971,Kate S Kellogg School,"2,802,901","2,765,112","2,700,784","-64,327",29.5,28.5,29,0.5,5
46191,Kelvyn Park High School,"7,718,510","6,340,474","5,218,088","-1,122,387",80,70,55.5,-14.5,5
46361,Kenwood Academy,"13,882,309","14,429,178","13,473,866","-955,312",138,139,134.5,-4.5,5
63041,Kwame Nkrumah Academy,"3,316,904","2,389,631","2,533,093","143,462",2,2,2,0,5
66566,LEARN - New Elementary Charter School,"3,642,237","3,688,925","5,091,354","1,402,429",0,0,0,0,5
66567,LEARN - New Middle Charter School,"2,763,564","3,128,516","3,196,709","68,193",0,0,0,0,5
66562,LEARN Charter ES - Charles and Dorothy Campbell,"4,862,274","4,607,018","5,228,567","621,548",0,0,0,0,5
66211,LEARN Charter School,"6,088,689","6,119,721","6,463,688","343,966",0,0,0,0,5
66561,LEARN Charter School - Excel Campus,"4,717,354","4,679,798","5,384,000","704,202",0,0,0,0,5
66564,LEARN Charter School - Hunter Perkins,"5,100,864","4,941,517","5,835,368","893,851",0,0,0,0,5
70241,LR - Alcott HS,0,"4,956",0,"-4,956",0,0,0,0,5
10910,LSC Relations,"2,083,056","1,575,197","1,768,857","193,660",17,12,12,0,5
29101,LaSalle Language Magnet,"6,071,236","6,299,573","5,681,348","-618,226",61.5,59.5,59,-0.5,5
46211,Lake View High School,"12,203,065","12,478,124","12,056,719","-421,405",120,119.5,128.7,9.2,5
69062,Lakeshore,"12,959",0,0,0,0,0,0,0,5
68040,Lane Stadium,840,0,0,0,0,0,0,0,5
26641,Langston Hughes School,0,500,0,-500,0,0,0,0,5
11510,Language & Cultural Education,"1,352,194","1,648,685","1,090,545","-558,141",6,5,5,0,5
11540,Language & Cultural Education - City Wide,"7,648,890","6,916,822","7,073,800","156,978",26,25,25,0,5
29161,Lasalle Language Academy School,"4,730,716","5,044,245","4,926,259","-117,986",48,44.5,50,5.5,5
23151,Laughlin Falconer School,"10,246,258","9,451,810","9,009,971","-441,839",108,101.5,95,-6.5,5
24991,Laura S Ward School,"5,427,799","4,841,037","4,540,653","-300,384",59.5,54.5,52.5,-2,5
25671,Lavizzo Elementray,"3,840,033","3,514,617","3,434,754","-79,863",35.5,38.5,36.5,-2,5
10210,Law Office,"12,478,590","12,724,135","15,000,158","2,276,023",92,78,77,-1,5
31161,Lawndale Community Academy School,"4,051,200","3,034,214","2,893,759","-140,455",47,38,32,-6,5
69048,Lawrence Hall Youth Services,"123,078","144,556",0,"-144,556",0,0,0,0,5
24051,Lazaro Cardenas School,"5,660,118","5,362,478","5,162,917","-199,561",58.5,55,52,-3,5
66563,Learn Charter School - South Chicago Campus,"4,840,892","4,704,999","5,218,014","513,015",0,0,0,0,5
67071,Legacy Charter School,"4,719,434","4,593,889","4,938,103","344,214",0,0,0,0,5
66641,Legal Prep Charter Academy,"3,662,129","3,963,305","3,752,968","-210,338",1,1,1,0,5
29051,Leif Ericson Scholastic Academy,"4,508,493","4,236,216","4,266,993","30,777",43,43,42,-1,5
69377,Leo High School,"97,904","85,051",0,"-85,051",0,0,0,0,5
24151,Leslie Lewis School,"4,249,854","4,043,429","3,796,590","-246,839",51,52,48,-4,5
22181,Lillian R. Nicholson STEM Academy,"5,613,562","5,236,605","5,243,393","6,788",56,55,51.8,-3.3,5
46321,Lincoln Park High School,"17,136,605","17,286,653","16,276,228","-1,010,425",175.5,168.5,167.5,-1,5
46511,Lindblom Math and Science Academy High School,"10,560,795","11,225,332","11,143,576","-81,756",114.5,115.6,119,3.4,5
32021,Lionel Hampton Fine and Performing Arts School,"5,305,434","5,319,513","5,296,735","-22,779",55,55.5,54,-1.5,5
13700,Literacy,"3,524,817","1,941,302","1,487,483","-453,819",17,8,7,-1,5
13705,Literacy - City Wide,0,"1,304,331",0,"-1,304,331",0,0,0,0,5
63161,Little Black Pearl,"2,095,900","1,737,526","1,631,340","-106,185",0,1,1,0,5
22521,Little Village Academy,"6,860,332","6,798,090","6,614,287","-183,803",73,70.5,71,0.5,5
49121,Little Village Multiplex,"536,022","-227,851",0,"227,851",7.5,4,4,0,5
41091,Logandale Middle School,"6,937,700","6,803,908","6,604,373","-199,535",72,69,67.5,-1.5,5
25221,Louis Armstrong Mathematics & Science Specialty School,525,250,0,-250,0,0,0,0,5
22031,Louis J Agassiz School,"5,456,881","5,054,625","4,900,576","-154,049",57.5,55.5,53.5,-2,5
24661,Louis Nettelhorst School,"6,500,567","6,843,126","6,563,572","-279,553",69,72,74,2,5
24851,Louis Pasteur School,"9,524,981","8,291,015","6,163,999","-2,127,017",97.5,97,63,-34,5
22041,Louisa May Alcott School,"7,867,904","8,184,750","8,222,416","37,666",82.5,84,90,6,5
