Unit,Unit Name,FY 2016 Ending Budget,FY 2017 Ending Budget,FY 2018 Proposed Budget,Budget ,FY 2016 Budgeted Positions,FY 2017 Budgeted Positions,FY 2018 Approved Positions,Positions ,
66411,Austin Business and Entrepreneurship Academy,"1,439,882","220,310",0,"-220,310",17,0,0,0,5
66511,Austin Multiplex,"422,220","95,087",0,"-95,087",10,8,0,-8,5
49141,Austin Polytechnical Academy,"1,756,053","22,583",0,"-22,583",25,0,0,0,5
22101,Avalon Park School,"3,129,321","2,906,361","3,008,070","101,710",33,30,31,1,5
46551,Back of the Yards High School,"7,119,839","9,051,291","8,975,243","-76,048",79,97,104,7,5
69553,Bais Yaakov High School Of Chicago,"87,258","55,529",0,"-55,529",0,0,0,0,5
65019,Banner Academy West,"3,570,471","2,515,762","2,955,565","439,803",0,1,1,0,5
26732,Barbara Vick Center - Vick Village,"28,861","25,836","25,836",0,0,0,0,0,5
26731,Barbara Vick Early Childhood & Family Center,"3,809,129","3,935,937","3,887,537","-48,400",41.5,42.5,42,-0.5,5
29321,Beasley Academic Center Magnet,"10,779,384","9,996,551","10,186,681","190,130",120.5,118.5,112.5,-6,5
29322,Beasley CPC,"2,356","9,207",0,"-9,207",0,0,0,0,5
26771,Belmont-Cragin School,"4,850,689","5,156,882","5,086,335","-70,547",53.7,53.2,55.7,2.5,5
46421,Benito Juarez High School,"15,695,722","15,191,521","15,000,777","-190,743",155,148,154,6,5
26321,Benjamin E Mays Academy,"4,885,934","4,609,777","4,026,567","-583,210",53,52,46,-6,5
69439,Bernard Zell Anshe Emet Day Sch,"10,015",0,0,0,0,0,0,0,5
24551,Bernhard Moos School,"5,304,062","5,172,425","4,762,007","-410,418",54.5,59,52,-7,5
25412,Bernice F Joyner Child-Parent- Center Br - Smyth,"55,620","56,187","57,978","1,791",1,1,1,0,5
69304,Bethseda Lutheran School,"47,927","47,550",0,"-47,550",0,0,0,0,5
25161,Betsy Ross School,584,515,0,-515,0,0,0,0,5
66401,Betty Shabazz - Barbara A. Sizemore,"2,743,895","2,241",0,"-2,241",0,0,0,0,5
66121,Betty Shabazz International Charter School,"3,325,664","534,412",0,"-534,412",0,0,0,0,5
66311,Betty Shabazz International Charter School-DuSable Leadership,"882,272","9,195",0,"-9,195",0,0,0,0,5
25371,Beulah Shoesmith School,"3,069,502","3,067,666","2,927,268","-140,398",35.5,32.5,33.5,1,5
29382,Black Robert A Br - Black Magnet,"16,309","9,345",0,"-9,345",0,0,0,0,5
30071,Blair Early Childhood Center,"4,194,886","4,301,748","4,789,449","487,700",53.5,51.5,58.5,7,5
69056,Blessed Agnes School,"219,517","73,546",0,"-73,546",0,0,0,0,5
10110,Board of Trustees,"1,120,251","1,018,279","1,005,136","-13,144",8,8,7,-1,5
22371,Bouchet Academy,"6,318,665","5,917,934","5,967,116","49,182",64,66,66,0,5
46491,Bowen High School,"6,175,105","5,069,008","4,336,567","-732,441",59.5,53.5,49.5,-4,5
22311,Brentano Math & Science Academy,"3,928,349","4,385,813","4,361,658","-24,156",42,49.5,51,1.5,5
23561,Bret Harte Elementary School,"3,396,668","3,341,312","3,020,774","-320,538",33,33,29.5,-3.5,5
24781,Brian Piccolo Elementary School,"5,073,316","5,303,739","5,233,921","-69,817",57,60.5,59,-1.5,5
69202,Brickton Montessori School,"13,125","20,500",0,"-20,500",0,0,0,0,5
11956,Bridgeport,0,"14,456",0,"-14,456",0,0,0,0,5
69209,Bridgeport Catholic Academy School - South,"74,310","33,531",0,"-33,531",0,0,0,0,5
26451,Brighton Park Elementary School,"4,562,350","4,271,645","3,836,121","-435,524",45,43.5,42,-1.5,5
66421,Bronzeville Lighthouse Charter School,"4,895,129","7,206",0,"-7,206",6,0,0,0,5
55191,Bronzeville Scholastic Institute,"5,630,945","4,149,943","3,172,289","-977,653",48,40,31.5,-8.5,5
69357,Brother Rice High School B,"43,846","28,419",0,"-28,419",0,0,0,0,5
12610,Budget & Management Office,"2,511,771","2,472,345","2,532,279","59,934",26,18,20,2,5
22431,Burnham/Anthony Inclusive Academy,"5,086,013","4,987,725","4,869,937","-117,788",61,61,59,-2,5
29021,Burnside Scholastic Academy,"5,407,853","4,954,625","4,954,831",206,53,53,52,-1,5
12280,Business Diversity,"382,178","281,941","417,469","135,528",4,3,3,0,5
11890,CPS Warehouse - City Wide,"2,757,406","2,778,009","2,862,082","84,074",29,28,29,1,5
22511,Caldwell Academy Of Mathematics Science & Technology,"2,589,950","2,603,189","2,560,827","-42,362",27,28,28,0,5
26821,Calmeca Academy of Fine Arts and Dual Language,"6,622,931","6,608,646","6,397,886","-210,760",74,73,73,0,5
66501,Calumet Multiplex,0,"2,895",0,"-2,895",0,0,0,0,5
66012,Camelot Safe Academy Elementary,0,"314,697",0,"-314,697",0,0,0,0,5
66013,Camelot Safe Academy Elementary Garfield Park,"1,626,065","1,399,933","634,625","-765,308",0,0,0,0,5
23981,Canter Middle School,"8,627","12,698",0,"-12,698",0,0,0,0,5
12150,Capital/Operations - City Wide,"567,864","126,144",0,"-126,144",0,0,0,0,5
46281,Carl Schurz High School,"19,344,806","18,449,897","16,115,852","-2,334,045",205.5,177,165,-12,5
24201,Carl Von Linne Elementary School,"5,759,630","5,635,855","5,554,329","-81,527",57,53,55,2,5
25941,Carrie Jacobs Bond,"3,690,655","3,440,192","3,540,395","100,203",45,39,43,4,5
26541,Carter G Woodson South,"4,158,416","3,823,439","3,714,308","-109,130",41.5,44,41,-3,5
46381,Carver Military High School,"5,550,892","5,461,029","5,219,005","-242,024",53.5,50,50,0,5
31211,Casimir Pulaski International Academy Elementary School,"7,181,770","7,142,121","7,013,833","-128,288",76,79,75,-4,5
22461,Castellanos,"5,064,177","5,467,605","5,276,512","-191,093",51.5,56.5,56,-0.5,5
66433,Catalyst - Maria Charter School,"12,813,867","12,910,982","13,431,576","520,594",0,0,0,0,5
66431,Catalyst Charter School - Howland,"17,546",0,0,0,3,0,0,0,5
66432,Catalyst Elementary School - Circle Rock,"5,483,867","5,457,905","6,070,540","612,635",0,0,0,0,5
44071,Cather Multiplex,"2,752",0,0,0,0,0,0,0,5
69302,Catherine Cook School,"8,125","11,910",0,"-11,910",0,0,0,0,5
25151,Cesar E Chavez Multicultural Academic Center,"8,683,908","9,142,464","8,540,167","-602,297",84,90,90.5,0.5,5
53041,Charles Allen Prosser Career Academy,"14,361,313","13,656,595","12,275,459","-1,381,136",141.7,134.2,127.7,-6.5,5
