oracle_id,school_name,FY 2017 Ending Budget
63021,Plato Learning Academy,4500741
67081,Polaris Charter Academy,4312361
69101,Pope John Paul II/Five Holy Martyrs,285609
25011,Portage Park Elementary School,7865939
69324,Prigrim Lutheran SchoolA,13965
26851,Princeton AC,5857
2541,Principal Quality,7290136
12210,Procurement and Contracts Office,2605777
66491,Prologue Early College High School,1000
66581,Prologue-Joshua Johnston Charter School,2261214
69395,Providence - St. Mel School High Schol,2400
66471,Providence Englewood Charter School - Bunche Campus,4532167
69504,Pui Tak Christian School,45483
69254,Queen Of Angels School,63570
69256,Queen Of The Universe School,128619
26031,R Nathaniel Dett,4219263
22601,Rachel Carson Elementary School,8843249
31061,Ralph H Metcalfe Community Academy Elementary School,3793040
25061,Ravenswood School,4898201
49101,Ray Graham Training Center,4119980
11910,Real Estate,16278113
23081,Richard Edwards School,12710952
26331,Richard Henry Lee School,7505096
25951,Richard J Daley Academy,5256365
24741,Richard J Oglesby School,4569219
46081,Richard T Crane Tech Prep Comm On School,6679
46641,Richard T. Crane (RTC) Medical Preparatory High School,5499030
25911,Richard Yates Elementary School,6235183
12460,Risk Management,8887223
46031,Roald Amundsen High School,11637203
29381,Robert A Black Magnet School,4144690
23121,Robert Emmet School,250
23281,Robert Fulton School,3881746
23651,Robert Healy School,10924579
23381,Robert J. Richardson Middle School,4966679
23461,Robert L Grimes School,3969372
51091,Roberto Clemente Community Academy High School,8307520
68050,Rockne Stadium,6450
24101,Rodolfo Lozano Bilingual & International Center,3101075
46301,Roger C Sullivan High School,7401090
69248,Rogers Park Montessori School,44655
26301,Ronald E McNair Elementary School,4748638
24631,Ronald H Brown Community Academy,3409588
24381,Roswell B Mason Elementary School,4113029
66571,Rowe Elementary School,9101877
30101,Ruben Salazar Bilingual Education Center School,3591576
66921,Rudy Lozano Leadership Academy - Mastery Campus (RLLAM),466524
24081,Rudyard Kipling School,3193306
23811,Rufus M Hitch School,4835544
22711,STEM Magnet Academy,3750801
69270,Sacred Heart School,61357
66011,Safe Schools Alternative,2720698
10615,Safety and Security - City Wide,25984127
69389,Salem Christian School,43660
22701,Salmon P Chase School,5287304
69142,San Miguel School,57681
69207,Sanders Academy,18577
26721,Sandoval Elementary School,8303140
69184,Santa Lucia School,19291
46611,Sarah E. Goode STEM Academy,8333295
25211,Sauganash Elementary School,4473065
10610,School Safety and Security Office,6231206
15010,School Support Center - City Wide,6571693
11940,School Transportation - City Wide,107518226
55171,School of Social Justice (at Little Village),3701643
13716,Science,782697
10871,Science Technology Engineering & Math (STEM) Programs,3778055
22281,Scott Joplin School,3894045
47061,Senn Metropolitan Academy Of Liberal Arts & Technology,13148251
28041,Shakespeare Multiplex,53212
23551,Sharon Christa Mcauliffe Elementary School,6282340
25231,Sidney Sawyer School,12658919
49051,Simpson Academy for Young Women,1876352
29391,Sir Miles Davis Magnet,3362696
22591,Skinner North,3941272
10813,Social Science & Civic Engagement,1280729
10895,Social and Emotional Learning,2205352
10898,Social and Emotional Learning - City Wide,10045603
23751,South Loop School,5587282
22251,South Shore Fine Arts Academy,4450863
46631,South Shore International College Prep High School,6124467
22631,Southeast Area Elementary School,4080724
49031,Southside Occupational Academy,7223968
13737,Sports Administration - City Wide,17667348
46461,Spry Community Links High School,2116249
69029,St Ailbe,212448
69033,St Alphonsus,11218
69037,St Angela School,71138
69038,St Ann School,51764
69049,St Barbara,21021
69050,St Barnabas School,1593
69051,St Bartholomew School,54071
69053,St Bede The Venerable School,67380
69404,St Benedict High School G&B,29970
69054,St Benedict School,86046
69064,St Bruno School,72591
69074,St Christina School,2443
69082,St Constance School,34799
69092,St Edward School,84378
69093,St Elizabeth School,18585
69095,St Ethelreda School,143941
69098,St Ferdinand School,113567
69105,St Francis Borgia School,7204
69109,St Gabriel School,84350
69110,St Gall School,32589
69111,St Genevieve School,91018
69120,St Helen School,83177
69148,St Jane De Chantal School,30495
69151,St Jerome School,19810
69154,St John Berchmans School,28430
69156,St John De La Salle School,231177
69328,St John Lutheran School,30376
69491,St Luke Lutheran School,71225
69180,St Malacy School,166000
69182,St Margaret Of Scotland School,239095
69189,St Mary Of The Angels School,30286
69190,St Mary Of The Lake School,142210
69195,St Mary Star Of The Sea School,76531
69199,St Matthias School,38383
69204,St Michael School,90511
69210,St Nicholas Cathedral School,180200
69212,St Nicholas Of Tolentine School,249375
69236,St Pascal School,64186
69420,St Patrick High School - Boys,65375
69332,St Paul Lutheran School,101326
69245,St Philip Neri School,306627
69247,St Pius V,70319
69260,St Richard School,91562
69262,St Robert Bellarmine School,59484
69267,St Sabina School,335850
69277,St Stanislaus - Kosta,34012
69279,St Sylvester School,19825
69280,St Symphorosa School,70813
69285,St Therese School,68226
69288,St Thomas Of Canterbury School,177528
69286,St Thomas The Apostle School,49368
69294,St Viator School,76547
69298,St Walter School,36494
69300,St William School,79811
69113,St. Catherine of Siena - St. Lucy School,30102
69080,St. Columbanus School,189116
69071,St. Frances of Rome,75
69107,St. Francis de Sales HS,1989
69123,St. Hilary School,56566
69570,St. James Lutheran,11565
69081,St. Joseph School,61285
69168,St. Juliana School,1622
69337,St. Philip Lutheran,350
69281,St. Tarcissus School,1359
68060,Stagg Stadium,36555
29031,Stephen Decatur Classical School,2425693
31081,Stephen F Gale Community Academy,4483529
23621,Stephen K Hayt School,8161430
46241,Stephen T Mather High School,14017049
29291,Stone Scholastic Academy,5964222
11371,Student Support and Engagement,11994632
10875,Student Support and Engagement - City Wide,8865617
11870,Student Transportation Services,4711211
26881,Suder Montessori Magnet School,4245588
49161,TEAM Englewood Community Academy,2921870
11010,Talent Office,14124083
26781,Talman School,4051342
26791,Tarkington School of Excellence,7899580
29361,Ted Lenart Regional Gifted Center,2391655
23231,Telpochcalli,3556006
69022,The Cambridge School,54042
66591,The Montessori School of Englewood Charter,2598522
23771,Theodore Herzl School,6370665
46271,Theodore Roosevelt High School,12326817
25391,Theophilus Schmid School,2325930
29011,Thomas A Edison Regional Gifted Center,2254747
31121,Thomas A Hendricks Community Academy,3121131
22671,Thomas Chalmers Specialty School,3482643
23021,Thomas Drummond Elementary School,3524547
23871,Thomas Hoyne School,2445863
31251,Thomas J Higgins Community Academy,3243743
25781,Thomas J Waters School,4613661
46181,Thomas Kelly High School,20742829
41081,Thurgood Marshall Middle School,564164
28271,Tilton Multiplex,18200
13740,Title I and School Improvement Programs,1129932
13745,Title I and School Improvement Programs - City Wide,1006221
12440,Treasury,1527036
29041,Turner-Drew Language Academy,2982384
69055,UCAN,120057
66399,UNO 51st and Homan Charter Elementary School,5692344
66392,UNO Charter School - Bartolom de las Casas Campus,2982239
66393,UNO Charter School - Carlos Fuentes Campus,5822270
66394,UNO Charter School - Major Hector P. Garcia MD Campus,7461048
66133,UNO Charter School - Near West Elementary Campus,5838361
66134,UNO Charter School - Northside Elementary Campus,8442032
66131,UNO Charter School - Octavio Paz Campus,4020974
66396,UNO Charter School - PFC Omar E. Torres Campus,6149545
66391,UNO Charter School - Rufino Tamayo Campus,3008293
66395,UNO Charter School - SPC Daniel Zizumbo Campus,6303998
66398,UNO Charter School - Sandra Cisneros Campus,5705971
66601,UNO Charter School - UNO Elementary School Campus .,3204472
66602,UNO Charter School Network - 15 (Brighton Park),5942049
66397,UNO Charter School- Officer Donald Marquez Campus,6010026
69318,Unity Lutheran East,57594
69125,Unity Lutheran West,42204
66321,University of Chicago Charter School - Donoghue Campus,4601264
66111,University of Chicago Charter School - North Kenwood/Oakland (NKO) Camp,3183780
66112,University of Chicago Charter School - Woodlawn Campus,6854598
66113,University of Chicago Charter School - Woodson South Campus,3014203
69157,University of Chicago Lab,4180
26861,Uplift Community High School,3978280
69188,Urban Prairie Waldorf,13955
66441,Urban Prep Academy for Young Men Charter School-Englewood Campus,3716493
66442,Urban Prep Charter Academy for Young Men High School - Bronzeville Camp,4170356
63071,Urban Prep Charter Academy for Young Men High School - West Campus,3120517
46621,VOISE Academy High School,3966771
26891,Velma Thomas Early Childhood Center,2818327
69032,Village Leadership Academy,65981
23361,Virgil Grissom School,3245870
69296,Visitation Campus School,112023
29401,Walt Disney Magnet School,13144768
46681,Walter Henri Dyett High School for the Arts,2483911
29231,Walter L Newberry Mathematics & Science Academy,5692863
70020,Walter Payton College Preperatory HS,9894323
23451,Walter Q Gresham Elementary School,3193463
30031,Walter S Christopher School,8084542
25401,Washington D Smyser School,7637549
24881,Washington Irving School,4700150
24811,Wells Preparatory School,4053186
24131,Wendell E Green,3922846
46261,Wendell Phillips Academy,6817004
23641,Wendell Smith,3596797
24721,West Park Academy,5376266
22381,West Ridge Elementary School,6824447
47101,Whitney M Young Magnet High School,17899161
25881,Wildwood School,4329658
26021,Willa Cather School,4003244
24732,William B Ogden Branch,500
24731,William B Ogden School,13726159
29241,William Bishop Owen Scholastic Academy School,2757861
23371,William C Goudy School,6435490
25091,William Claude Reavis School,2641997
26601,William E B Dubois School,2648766
22941,William E Dever School,6121363
23541,William F Finkl,4183381
23801,William G Hibbard School,8916642
22351,William H Brown Elementary School,3808888
24031,William H King School,471
25021,William H Prescott School,3325923
25071,William H Ray School,6383061
25191,William H Ryder Math/Science Specialty School,4681390
25301,William H Seward Communication Arts Academy,6394839
51071,William H Wells Community Academy High School,5153674
46311,William Howard Taft High School,25640147
46041,William J Bogan Computer Technical High School,9157882
24761,William J Onahan School,5030488
47021,William Jones College Prep High School,14343535
25541,William K Sullivan Specialty School,5134482
23401,William P Gray School,10005015
24681,William P Nixon School,7238594
24911,William Penn School,4342578
25341,William T. Sherman Elementary School of Excellence,2782942
22611,William W Carter School,3349225
30121,Wilma G Rudolph Learning Center,3606717
68030,Winnemac Park Stadium,27490
69333,Wolcott School,2400
24611,Wolfgang A Mozart School,6429773
23631,Woodlawn Community,1936781
52011,World Language High School (at Little Village),3727377
66108,YCCS - ASPIRA Antonia Pantoja Alternative HS,1000
66107,YCCS - Ada S McKinley - Lakeside HS,40063
66614,YCCS - Community Youth Development Institute HS,15856
66617,YCCS - Innovations of Arts Integration HS,32549
66618,YCCS - Jane Addams Alternative HS,31843
66623,YCCS - Sullivan House Alternative HS,16550
66627,YCCS - West Town Academy Alternative HS,39198
66629,YCCS - Youth Connection Leadership Academy HS,28325
69047,Yeshiva Ohr Baruch,47818
69442,Yeshivas Tiferes TZVI,136990
66171,Young Women's Leadership Charter School,3071091
66101,Youth Connection Charter School (YCCS),48356708
22781,Zenos Colman School,16301
Grand Total,nan,5411234428
