School ID,School Name,ncessch,school_id,school_name,leaid,latitude,longitude,census_tract,enrollment_crdc,college_enroll_pct,opportunity_index
609749,NORTHSIDE PREP HS,170993003481,3481,Northside College Preparatory High School,1709930,41.981351,-87.707935,17031831800,1059,96.0,87.32
609737,VON STEUBEN HS,170993001180,1180,Von Steuben Metro Science High School,1709930,41.973222,-87.713126,17031831800,1726,80.3,75.64
610391,LINDBLOM HS,170993005791,5791,Lindblom Math & Science Academy High School,1709930,41.78211,-87.672162,17031670600,1325,94.6,63.98
609720,LANE TECH HS,170993000942,942,Lane Technical High School,1709930,41.945356,-87.690624,17031843700,4441,92.6,100.0
610402,DEVRY HS,170993005790,5790,Devry Advantage Academy High School,1709930,41.941039,-87.691119,17031843700,193,87.0,88.71
609755,YOUNG HS,170993000714,714,Young Magnet High School,1709930,41.87827,-87.663686,17031833100,2159,89.4,98.03
609678,JONES HS,170993000990,990,Jones College Prep High School,1709930,41.874066,-87.628054,17031839000,1865,88.8,96.7
609738,LINCOLN PARK HS,170993001185,1185,Lincoln Park High School,1709930,41.919347,-87.645354,17031071200,2101,88.6,89.51
610529,OGDEN HS,170993006093,6093,Ogden International High School,1709930,41.893928,-87.6585,17031243200,885,87.2,70.38
609751,KING HS,170993000931,931,King College Prep High School,1709930,41.813881,-87.602917,17031390300,600,85.4,66.41
609726,BROOKS HS,170993002031,2031,Brooks College Prep Academy High School,1709930,41.694049,-87.615882,17031490901,961,85.0,77.62
400035,CHICAGO MATH & SCIENCE HS,170993005092,5092,Chicago Math & Science Elementary Charter,1709930,42.008825,-87.672858,17031010202,592,84.9,62.19
400094,EPIC HS,170993006088,6088,EPIC Academy High School,1709930,41.744942,-87.549779,17031460100,541,84.2,57.0
609753,CHICAGO AGRICULTURE HS,170993005147,5147,Chicago High School for Agricultural Sciences,1709930,41.690023,-87.717329,17031740400,718,84.2,75.14
609746,KENWOOD HS,170993000925,925,Kenwood Academy High School,1709930,41.803407,-87.589655,17031390700,1755,83.1,78.63
610340,CHICAGO ACADEMY HS,170993005061,5061,Chicago Academy High School,1709930,41.943327,-87.776988,17031171100,542,82.9,72.89
610524,ALCOTT HS,170993006072,6072,Alcott Humanities High School,1709930,41.935468,-87.680351,17031051400,311,82.5,54.06
609694,HANCOCK HS,170993001980,1980,Hancock College Preparatory High School,1709930,41.791703,-87.724928,17031620300,971,81.0,74.45
610384,INFINITY HS,170993005795,5795,Infinity Math  Science & Tech High School,1709930,41.834922,-87.735531,17031830500,418,79.7,63.93
610392,WORLD LANGUAGE HS,170993005788,5788,World Language High School,1709930,41.835226,-87.735982,17031830500,352,77.0,63.32
610383,SOCIAL JUSTICE HS,170993005793,5793,School of Social Justice High School,1709930,41.834912,-87.735753,17031830500,286,71.4,60.6
610385,MULTICULTURAL HS,170993005794,5794,Multicultural Academy Scholarshp High School,1709930,41.835448,-87.735546,17031830500,230,62.5,55.9
610304,PHOENIX MILITARY HS,170993004715,4715,Phoenix Military Academy High School,1709930,41.879116,-87.688418,17031280800,531,78.8,64.82
610244,CLARK HS,170993001210,1210,Clark  G R Elementary School,1709930,41.868021,-87.77017,17031831400,236,78.7,45.72
609734,TAFT HS,170993001153,1153,Taft High School,1709930,41.984656,-87.791426,17031100300,3373,78.5,82.11
609756,CURIE HS,170993001198,1198,Curie Metropolitan High School,1709930,41.801913,-87.722181,17031570400,2916,77.1,63.19
400022,CHIARTS HS,170993006058,6058,Chicago High School for the Arts,1709930,41.899534,-87.695034,17031351000,620,76.2,86.01
610390,RICKOVER MILITARY HS,170993005078,5078,Rickover Naval Academy High School,1709930,41.98902,-87.666421,17031030500,554,75.5,76.28
609730,SENN HS,170993001114,1114,Senn High School,1709930,41.989094,-87.666773,17031030500,1441,75.3,76.31
609679,PROSSER HS,170993000681,681,Prosser Career Academy High School,1709930,41.91938,-87.761802,17031191200,1394,72.6,62.77
610357,SPRY HS,170993005677,5677,Spry Community Links High School,1709930,41.848607,-87.697784,17031301100,129,72.1,47.12
609695,AMUNDSEN HS,170993000587,587,Amundsen High School,1709930,41.975232,-87.680089,17031040402,1226,70.7,75.71
609741,HUBBARD HS,170993000889,889,Hubbard High School,1709930,41.780103,-87.718726,17031650100,1777,70.4,63.2
609713,HYDE PARK HS,170993000893,893,Hyde Park Academy High School,1709930,41.78211,-87.587269,17031420100,856,69.8,55.16
609724,MATHER HS,170993000977,977,Mather High School,1709930,41.988119,-87.701409,17031020701,1442,69.8,73.56
609739,WASHINGTON HS,170993001189,1189,Washington G High School,1709930,41.687525,-87.53905,17031520600,1436,69.7,64.33
609727,PHILLIPS HS,170993001061,1061,Phillips Academy High School,1709930,41.824429,-87.619904,17031839600,634,69.6,62.29
609718,KENNEDY HS,170993000924,924,Kennedy High School,1709930,41.790206,-87.780788,17031561100,1691,69.4,73.37
