,NAME,pov_rate,tot_hhld,tot_hhld_int,unemp_rate_25_64,state,county,tract,internet_rate,emp_rate_25_64,above_pov_rate
819,"Census Tract 604, Cook County, Illinois",10.7,1543,1403,1.0,17,031,060400,90.92676604018146,99.0,89.3
820,"Census Tract 620, Cook County, Illinois",8.0,1548,1452,2.3,17,031,062000,93.7984496124031,97.7,92.0
821,"Census Tract 622, Cook County, Illinois",9.8,1275,1173,2.5,17,031,062200,92.0,97.5,90.2
822,"Census Tract 625, Cook County, Illinois",8.7,715,685,1.1,17,031,062500,95.8041958041958,98.9,91.3
823,"Census Tract 631, Cook County, Illinois",8.7,1326,1202,2.5,17,031,063100,90.64856711915536,97.5,91.3
824,"Census Tract 902, Cook County, Illinois",2.1,2752,2296,2.1,17,031,090200,83.43023255813954,97.9,97.9
825,"Census Tract 1004, Cook County, Illinois",7.1,1241,1050,5.6,17,031,100400,84.60918614020952,94.4,92.9
826,"Census Tract 1007, Cook County, Illinois",4.2,1800,1458,4.9,17,031,100700,81.0,95.1,95.8
827,"Census Tract 1203, Cook County, Illinois",3.9,2378,2031,3.2,17,031,120300,85.40790580319596,96.8,96.1
828,"Census Tract 2925, Cook County, Illinois",34.1,1392,869,17.3,17,031,292500,62.42816091954023,82.7,65.9
829,"Census Tract 715, Cook County, Illinois",3.9,3820,3542,2.2,17,031,071500,92.72251308900523,97.8,96.1
830,"Census Tract 221, Tazewell County, Illinois",7.9,1542,1230,2.8,17,179,022100,79.76653696498055,97.2,92.1
831,"Census Tract 203.02, Tazewell County, Illinois",5.6,2134,1645,4.6,17,179,020302,77.08528584817245,95.4,94.4
832,"Census Tract 207, Tazewell County, Illinois",10.5,1706,1393,2.0,17,179,020700,81.65298944900353,98.0,89.5
833,"Census Tract 212.02, Tazewell County, Illinois",1.8,1501,1188,3.2,17,179,021202,79.14723517654897,96.8,98.2
834,"Census Tract 216.05, Tazewell County, Illinois",6.1,1073,855,0.9,17,179,021605,79.68313140726934,99.1,93.9
835,"Census Tract 218.02, Tazewell County, Illinois",6.9,812,665,3.3,17,179,021802,81.89655172413794,96.7,93.1
836,"Census Tract 222, Tazewell County, Illinois",5.1,2069,1780,2.5,17,179,022200,86.0318994683422,97.5,94.9
837,"Census Tract 203.01, Tazewell County, Illinois",7.3,1943,1303,5.6,17,179,020301,67.06124549665465,94.4,92.7
838,"Census Tract 217.02, Tazewell County, Illinois",3.8,2118,1794,0.7,17,179,021702,84.70254957507082,99.3,96.2
839,"Census Tract 9603, Cass County, Illinois",3.6,1184,660,5.5,17,017,960300,55.74324324324324,94.5,96.4
840,"Census Tract 9602, Cass County, Illinois",9.8,1031,800,3.0,17,017,960200,77.59456838021337,97.0,90.2
841,"Census Tract 9604, Cass County, Illinois",14.7,1008,679,3.7,17,017,960400,67.36111111111111,96.3,85.3
842,"Census Tract 9601, Cass County, Illinois",5.3,970,693,4.1,17,017,960100,71.44329896907216,95.9,94.7
843,"Census Tract 9605, Cass County, Illinois",32.1,967,717,5.9,17,017,960500,74.14684591520165,94.1,67.9
844,"Census Tract 8701, Warren County, Illinois",7.6,879,688,4.9,17,187,870100,78.2707622298066,95.1,92.4
845,"Census Tract 8702, Warren County, Illinois",14.9,1075,847,8.1,17,187,870200,78.79069767441861,91.9,85.1
846,"Census Tract 8703, Warren County, Illinois",7.5,1021,760,2.0,17,187,870300,74.43682664054847,98.0,92.5
847,"Census Tract 8705, Warren County, Illinois",17.7,1884,1435,7.7,17,187,870500,76.16772823779193,92.3,82.3
848,"Census Tract 8704, Warren County, Illinois",15.7,1943,1275,5.8,17,187,870400,65.6201749871333,94.2,84.3
849,"Census Tract 9618, LaSalle County, Illinois",12.8,1571,1177,6.6,17,099,961800,74.92043284532144,93.4,87.2
850,"Census Tract 9619, LaSalle County, Illinois",13.0,1664,1327,4.9,17,099,961900,79.74759615384616,95.1,87.0
851,"Census Tract 9620, LaSalle County, Illinois",19.8,1373,1001,10.5,17,099,962000,72.9060451565914,89.5,80.2
852,"Census Tract 9621, LaSalle County, Illinois",9.8,2098,1628,5.9,17,099,962100,77.59771210676834,94.1,90.2
853,"Census Tract 9622, LaSalle County, Illinois",9.2,2028,1679,5.1,17,099,962200,82.79092702169625,94.9,90.8
854,"Census Tract 9623, LaSalle County, Illinois",10.5,2350,1942,5.7,17,099,962300,82.63829787234043,94.3,89.5
855,"Census Tract 9624, LaSalle County, Illinois",13.3,1470,1207,8.6,17,099,962400,82.10884353741497,91.4,86.7
856,"Census Tract 9625, LaSalle County, Illinois",18.9,896,741,6.2,17,099,962500,82.70089285714286,93.8,81.1
857,"Census Tract 9626, LaSalle County, Illinois",21.5,2296,1890,7.2,17,099,962600,82.3170731707317,92.8,78.5
858,"Census Tract 9627, LaSalle County, Illinois",21.5,1125,769,20.0,17,099,962700,68.35555555555555,80.0,78.5
859,"Census Tract 9628, LaSalle County, Illinois",9.7,1432,1157,7.4,17,099,962800,80.79608938547486,92.6,90.3
860,"Census Tract 9629, LaSalle County, Illinois",12.9,1369,1066,9.7,17,099,962900,77.86705624543463,90.3,87.1
861,"Census Tract 9630, LaSalle County, Illinois",13.2,2045,1313,11.1,17,099,963000,64.20537897310513,88.9,86.8
862,"Census Tract 9631, LaSalle County, Illinois",14.1,1316,1045,3.3,17,099,963100,79.40729483282675,96.7,85.9
863,"Census Tract 9632, LaSalle County, Illinois",7.8,1357,1066,8.2,17,099,963200,78.55563743551953,91.8,92.2
864,"Census Tract 9633, LaSalle County, Illinois",23.9,1012,631,6.8,17,099,963300,62.35177865612648,93.2,76.1
865,"Census Tract 9634, LaSalle County, Illinois",12.9,1678,1334,3.1,17,099,963400,79.4994040524434,96.9,87.1
866,"Census Tract 9635, LaSalle County, Illinois",11.8,1838,1502,3.3,17,099,963500,81.71926006528835,96.7,88.2
867,"Census Tract 717, Cook County, Illinois",2.9,732,691,3.9,17,031,071700,94.39890710382514,96.1,97.1
868,"Census Tract 202, Cook County, Illinois",11.3,2152,2023,5.9,17,031,020200,94.00557620817844,94.1,88.7
869,"Census Tract 317, Cook County, Illinois",33.3,3471,2710,8.2,17,031,031700,78.07548256986459,91.8,66.7
870,"Census Tract 313, Cook County, Illinois",22.5,4118,2886,5.0,17,031,031300,70.08256435162701,95.0,77.5
871,"Census Tract 8147, Cook County, Illinois",15.6,1643,1345,3.2,17,031,814700,81.86244674376141,96.8,84.4
872,"Census Tract 201, Cook County, Illinois",18.9,1434,1106,9.1,17,031,020100,77.12691771269176,90.9,81.1
873,"Census Tract 9614, Ogle County, Illinois",16.9,1838,1397,5.8,17,141,961400,76.00652883569097,94.2,83.1
874,"Census Tract 9617, Ogle County, Illinois",3.1,1924,1632,2.3,17,141,961700,84.82328482328482,97.7,96.9
875,"Census Tract 9504, Iroquois County, Illinois",24.7,1773,1249,7.6,17,075,950400,70.44557247602933,92.4,75.3
876,"Census Tract 9509, Iroquois County, Illinois",20.4,1026,734,7.4,17,075,950900,71.53996101364523,92.6,79.6
877,"Census Tract 9582, Christian County, Illinois",12.9,1634,1179,5.1,17,021,958200,72.15422276621787,94.9,87.1
878,"Census Tract 1611, Cook County, Illinois",1.8,746,597,1.3,17,031,161100,80.02680965147452,98.7,98.2
879,"Census Tract 1612, Cook County, Illinois",13.2,946,755,3.2,17,031,161200,79.80972515856237,96.8,86.8
880,"Census Tract 2838, Cook County, Illinois",20.9,1703,1252,12.8,17,031,283800,73.5173223722842,87.2,79.1
881,"Census Tract 28, Winnebago County, Illinois",48.5,504,289,16.6,17,201,002800,57.341269841269835,83.4,51.5
882,"Census Tract 37.05, Winnebago County, Illinois",4.2,2079,1748,7.0,17,201,003705,84.07888407888407,93.0,95.8
883,"Census Tract 37.07, Winnebago County, Illinois",16.4,1873,1536,8.8,17,201,003707,82.00747463961558,91.2,83.6
884,"Census Tract 37.09, Winnebago County, Illinois",34.7,575,501,9.2,17,201,003709,87.1304347826087,90.8,65.3
885,"Census Tract 38.08, Winnebago County, Illinois",7.2,1364,1176,3.2,17,201,003808,86.21700879765396,96.8,92.8
886,"Census Tract 39.01, Winnebago County, Illinois",2.1,1686,1496,3.9,17,201,003901,88.73072360616845,96.1,97.9
887,"Census Tract 42, Winnebago County, Illinois",8.3,2383,2061,3.3,17,201,004200,86.48762064624424,96.7,91.7
888,"Census Tract 13, Winnebago County, Illinois",36.5,797,552,9.9,17,201,001300,69.25972396486826,90.1,63.5
889,"Census Tract 5.11, Winnebago County, Illinois",4.8,1108,951,9.0,17,201,000511,85.83032490974729,91.0,95.2
890,"Census Tract 19, Winnebago County, Illinois",13.4,1373,1068,3.6,17,201,001900,77.78587035688274,96.4,86.6
891,"Census Tract 23.02, Winnebago County, Illinois",17.1,553,437,17.5,17,201,002302,79.02350813743219,82.5,82.9
892,"Census Tract 36.04, Winnebago County, Illinois",21.8,1270,853,12.8,17,201,003604,67.16535433070867,87.2,78.2
893,"Census Tract 43, Winnebago County, Illinois",3.5,2030,1612,2.5,17,201,004300,79.4088669950739,97.5,96.5
894,"Census Tract 1.01, Winnebago County, Illinois",6.3,1838,1410,5.6,17,201,000101,76.71381936887923,94.4,93.7
895,"Census Tract 5.10, Winnebago County, Illinois",5.2,1284,1162,3.1,17,201,000510,90.49844236760126,96.9,94.8
896,"Census Tract 5.14, Winnebago County, Illinois",7.3,1457,1157,8.0,17,201,000514,79.40974605353466,92.0,92.7
897,"Census Tract 14, Winnebago County, Illinois",23.8,1628,1060,11.7,17,201,001400,65.1105651105651,88.3,76.2
898,"Census Tract 26, Winnebago County, Illinois",59.5,744,489,42.7,17,201,002600,65.7258064516129,57.3,40.5
899,"Census Tract 38.01, Winnebago County, Illinois",8.2,2298,2036,5.1,17,201,003801,88.59878154917318,94.9,91.8
900,"Census Tract 38.07, Winnebago County, Illinois",4.7,3185,2935,3.4,17,201,003807,92.15070643642072,96.6,95.3
901,"Census Tract 39.03, Winnebago County, Illinois",2.8,2201,2106,3.5,17,201,003903,95.68378009995456,96.5,97.2
902,"Census Tract 5.07, Winnebago County, Illinois",24.5,1605,1256,5.9,17,201,000507,78.25545171339564,94.1,75.5
903,"Census Tract 5.12, Winnebago County, Illinois",4.5,2590,1991,5.4,17,201,000512,76.87258687258687,94.6,95.5
904,"Census Tract 40.02, Winnebago County, Illinois",4.0,2734,2268,7.2,17,201,004002,82.95537673738113,92.8,96.0
905,"Census Tract 36.02, Winnebago County, Illinois",25.5,1648,963,12.2,17,201,003602,58.43446601941748,87.8,74.5
906,"Census Tract 8, Winnebago County, Illinois",28.4,1203,841,11.8,17,201,000800,69.90856192851206,88.2,71.6
907,"Census Tract 40.03, Winnebago County, Illinois",15.0,768,613,6.4,17,201,004003,79.81770833333334,93.6,85.0
908,"Census Tract 3, Winnebago County, Illinois",20.3,1693,1270,4.1,17,201,000300,75.01476668635559,95.9,79.7
909,"Census Tract 4.03, Winnebago County, Illinois",6.7,1835,1452,5.4,17,201,000403,79.12806539509538,94.6,93.3
910,"Census Tract 7, Winnebago County, Illinois",9.4,1461,1253,12.3,17,201,000700,85.76317590691306,87.7,90.6
911,"Census Tract 10, Winnebago County, Illinois",53.6,1122,568,21.0,17,201,001000,50.623885918003566,79.0,46.4
912,"Census Tract 17, Winnebago County, Illinois",17.0,1121,848,11.9,17,201,001700,75.64674397859055,88.1,83.0
913,"Census Tract 22, Winnebago County, Illinois",22.4,1325,983,12.6,17,201,002200,74.18867924528301,87.4,77.6
914,"Census Tract 24, Winnebago County, Illinois",52.6,871,592,24.9,17,201,002400,67.9678530424799,75.1,47.4
915,"Census Tract 31, Winnebago County, Illinois",31.2,1604,1025,8.9,17,201,003100,63.90274314214464,91.1,68.8
916,"Census Tract 36.06, Winnebago County, Illinois",23.2,1027,762,10.2,17,201,003606,74.19668938656281,89.8,76.8
917,"Census Tract 37.06, Winnebago County, Illinois",2.1,2307,2021,7.8,17,201,003706,87.60294755093194,92.2,97.9
918,"Census Tract 4, DeKalb County, Illinois",5.3,3176,2863,4.5,17,037,000400,90.14483627204031,95.5,94.7
919,"Census Tract 17, DeKalb County, Illinois",8.1,1252,1088,3.5,17,037,001700,86.90095846645367,96.5,91.9
920,"Census Tract 3906, Cook County, Illinois",11.6,835,731,5.0,17,031,390600,87.54491017964072,95.0,88.4
921,"Census Tract 8070, Cook County, Illinois",13.4,1932,1588,4.9,17,031,807000,82.19461697722568,95.1,86.6
922,"Census Tract 3815, Cook County, Illinois",43.4,125,85,15.4,17,031,381500,68.0,84.6,56.6
923,"Census Tract 4107, Cook County, Illinois",27.5,992,872,6.7,17,031,410700,87.90322580645162,93.3,72.5
924,"Census Tract 8083.01, Cook County, Illinois",11.1,2314,1804,1.8,17,031,808301,77.96024200518582,98.2,88.9
925,"Census Tract 8083.02, Cook County, Illinois",3.8,1418,1187,2.8,17,031,808302,83.70944992947814,97.2,96.2
926,"Census Tract 8093, Cook County, Illinois",46.2,1711,1339,2.3,17,031,809300,78.2583284628872,97.7,53.8
927,"Census Tract 4604, Cook County, Illinois",21.2,1272,800,5.4,17,031,460400,62.893081761006286,94.6,78.8
928,"Census Tract 5607, Cook County, Illinois",11.7,1153,825,10.9,17,031,560700,71.55247181266262,89.1,88.3
929,"Census Tract 5611, Cook County, Illinois",3.8,1877,1406,5.9,17,031,561100,74.90676611614278,94.1,96.2
930,"Census Tract 5702, Cook County, Illinois",17.2,591,409,10.3,17,031,570200,69.20473773265653,89.7,82.8
931,"Census Tract 101, Cook County, Illinois",36.8,2248,1521,5.0,17,031,010100,67.66014234875445,95.0,63.2
932,"Census Tract 305, Cook County, Illinois",9.4,2864,2664,2.0,17,031,030500,93.01675977653632,98.0,90.6
933,"Census Tract 7107, Cook County, Illinois",19.7,1344,610,10.7,17,031,710700,45.38690476190476,89.3,80.3
934,"Census Tract 7109, Cook County, Illinois",47.8,816,414,29.9,17,031,710900,50.73529411764706,70.1,52.2
935,"Census Tract 7114, Cook County, Illinois",30.3,829,424,10.7,17,031,711400,51.145958986731,89.3,69.7
936,"Census Tract 7203, Cook County, Illinois",4.6,1320,1145,4.8,17,031,720300,86.74242424242425,95.2,95.4
937,"Census Tract 7303, Cook County, Illinois",15.6,419,244,15.2,17,031,730300,58.233890214797135,84.8,84.4
938,"Census Tract 7401, Cook County, Illinois",1.8,1151,1002,4.4,17,031,740100,87.05473501303214,95.6,98.2
939,"Census Tract 8288.02, Cook County, Illinois",5.8,1257,1025,6.9,17,031,828802,81.5433571996818,93.1,94.2
940,"Census Tract 8289, Cook County, Illinois",45.1,1174,688,13.6,17,031,828900,58.603066439523,86.4,54.9
941,"Census Tract 8299.01, Cook County, Illinois",6.9,3587,3142,14.6,17,031,829901,87.59408976860887,85.4,93.1
942,"Census Tract 8299.02, Cook County, Illinois",19.4,2612,1993,12.3,17,031,829902,76.30168453292497,87.7,80.6
943,"Census Tract 628, Cook County, Illinois",4.3,1521,1464,2.1,17,031,062800,96.25246548323472,97.9,95.7
944,"Census Tract 634, Cook County, Illinois",8.9,1176,1118,1.2,17,031,063400,95.06802721088435,98.8,91.1
945,"Census Tract 705, Cook County, Illinois",6.2,1313,1128,4.7,17,031,070500,85.91012947448591,95.3,93.8
946,"Census Tract 716, Cook County, Illinois",10.9,719,661,8.7,17,031,071600,91.93324061196105,91.3,89.1
947,"Census Tract 718, Cook County, Illinois",4.7,1081,918,3.5,17,031,071800,84.9213691026827,96.5,95.3
948,"Census Tract 801, Cook County, Illinois",7.1,4090,3798,5.6,17,031,080100,92.86063569682152,94.4,92.9
949,"Census Tract 804, Cook County, Illinois",25.1,1929,1364,6.0,17,031,080400,70.71021254536028,94.0,74.9
950,"Census Tract 813, Cook County, Illinois",11.8,3304,2760,5.1,17,031,081300,83.53510895883777,94.9,88.2
951,"Census Tract 1002, Cook County, Illinois",6.4,2810,2123,3.2,17,031,100200,75.55160142348754,96.8,93.6
952,"Census Tract 1003, Cook County, Illinois",5.6,2676,1669,1.4,17,031,100300,62.36920777279522,98.6,94.4
953,"Census Tract 1204, Cook County, Illinois",7.5,1258,1105,5.2,17,031,120400,87.83783783783784,94.8,92.5
954,"Census Tract 1503, Cook County, Illinois",13.2,2991,2388,4.1,17,031,150300,79.839518555667,95.9,86.8
955,"Census Tract 1512, Cook County, Illinois",10.3,1217,830,2.0,17,031,151200,68.20049301561217,98.0,89.7
956,"Census Tract 1602, Cook County, Illinois",6.9,1248,1014,2.1,17,031,160200,81.25,97.9,93.1
957,"Census Tract 1704, Cook County, Illinois",10.8,1517,1053,2.7,17,031,170400,69.41331575477918,97.3,89.2
958,"Census Tract 1708, Cook County, Illinois",6.5,1424,987,5.1,17,031,170800,69.31179775280899,94.9,93.5
959,"Census Tract 1801, Cook County, Illinois",14.4,2094,1618,3.8,17,031,180100,77.2683858643744,96.2,85.6
960,"Census Tract 8285.05, Cook County, Illinois",19.9,2522,1902,17.6,17,031,828505,75.41633624107851,82.4,80.1
961,"Census Tract 8287.01, Cook County, Illinois",6.7,1286,962,12.1,17,031,828701,74.80559875583204,87.9,93.3
962,"Census Tract 8290, Cook County, Illinois",54.1,460,206,22.4,17,031,829000,44.78260869565218,77.6,45.9
963,"Census Tract 6, Peoria County, Illinois",33.9,1171,589,17.7,17,143,000600,50.29888983774552,82.3,66.1
964,"Census Tract 20, Peoria County, Illinois",25.4,502,472,4.4,17,143,002000,94.02390438247012,95.6,74.6
965,"Census Tract 22, Peoria County, Illinois",16.1,1660,1205,7.5,17,143,002200,72.59036144578313,92.5,83.9
966,"Census Tract 9607, Ogle County, Illinois",6.6,1816,1505,3.1,17,141,960700,82.87444933920705,96.9,93.4
967,"Census Tract 9610, Ogle County, Illinois",13.7,2522,2059,4.4,17,141,961000,81.6415543219667,95.6,86.3
968,"Census Tract 9611, Ogle County, Illinois",9.3,2068,1440,4.4,17,141,961100,69.63249516441006,95.6,90.7
969,"Census Tract 9612, Ogle County, Illinois",12.5,2123,1451,7.8,17,141,961200,68.34667922750825,92.2,87.5
970,"Census Tract 9613, Ogle County, Illinois",9.1,1938,1562,6.1,17,141,961300,80.5985552115583,93.9,90.9
971,"Census Tract 9615, Ogle County, Illinois",12.0,1759,1322,5.1,17,141,961500,75.15633882888004,94.9,88.0
972,"Census Tract 9608, Ogle County, Illinois",9.4,1521,1151,7.6,17,141,960800,75.67389875082183,92.4,90.6
973,"Census Tract 9609, Ogle County, Illinois",18.1,2139,1666,9.2,17,141,960900,77.88686302010285,90.8,81.9
974,"Census Tract 9616, Ogle County, Illinois",12.0,1182,902,8.9,17,141,961600,76.31133671742809,91.1,88.0
975,"Census Tract 29.02, Macon County, Illinois",8.8,2050,1775,3.4,17,115,002902,86.58536585365853,96.6,91.2
976,"Census Tract 14, Macon County, Illinois",6.5,1224,947,3.7,17,115,001400,77.36928104575163,96.3,93.5
977,"Census Tract 21, Macon County, Illinois",41.6,614,330,14.4,17,115,002100,53.74592833876222,85.6,58.4
978,"Census Tract 24.02, Macon County, Illinois",6.4,2182,1764,3.3,17,115,002402,80.84326306141155,96.7,93.6
979,"Census Tract 28, Macon County, Illinois",7.8,1688,1329,5.0,17,115,002800,78.73222748815166,95.0,92.2
980,"Census Tract 2, Macon County, Illinois",42.2,975,676,16.0,17,115,000200,69.33333333333334,84.0,57.8
981,"Census Tract 4, Macon County, Illinois",24.3,439,339,8.3,17,115,000400,77.22095671981776,91.7,75.7
982,"Census Tract 11, Macon County, Illinois",20.1,1585,1210,8.4,17,115,001100,76.34069400630915,91.6,79.9
983,"Census Tract 13, Macon County, Illinois",8.8,1080,909,4.4,17,115,001300,84.16666666666667,95.6,91.2
984,"Census Tract 16, Macon County, Illinois",23.8,608,495,6.7,17,115,001600,81.41447368421053,93.3,76.2
985,"Census Tract 19, Macon County, Illinois",38.1,1078,634,18.7,17,115,001900,58.8126159554731,81.3,61.9
986,"Census Tract 23, Macon County, Illinois",5.8,1190,966,4.7,17,115,002300,81.17647058823529,95.3,94.2
987,"Census Tract 25, Macon County, Illinois",2.6,2764,2371,4.3,17,115,002500,85.78147612156295,95.7,97.4
988,"Census Tract 26.01, Macon County, Illinois",4.7,1646,1424,8.2,17,115,002601,86.51275820170109,91.8,95.3
989,"Census Tract 17, Macon County, Illinois",21.7,1039,756,7.2,17,115,001700,72.76227141482194,92.8,78.3
990,"Census Tract 5033.32, St. Clair County, Illinois",8.0,1984,1462,5.6,17,163,503332,73.68951612903226,94.4,92.0
991,"Census Tract 5019, St. Clair County, Illinois",13.2,1558,1213,7.0,17,163,501900,77.85622593068035,93.0,86.8
992,"Census Tract 5024.04, St. Clair County, Illinois",32.6,1099,641,4.8,17,163,502404,58.32575068243858,95.2,67.4
993,"Census Tract 5028, St. Clair County, Illinois",64.8,1165,448,22.1,17,163,502800,38.4549356223176,77.9,35.2
994,"Census Tract 5012, St. Clair County, Illinois",38.3,1248,436,10.7,17,163,501200,34.93589743589743,89.3,61.7
995,"Census Tract 5016.03, St. Clair County, Illinois",29.8,2305,1456,11.0,17,163,501603,63.167028199566154,89.0,70.2
996,"Census Tract 5029, St. Clair County, Illinois",28.0,718,368,7.9,17,163,502900,51.25348189415042,92.1,72.0
997,"Census Tract 5005, St. Clair County, Illinois",58.5,958,337,11.9,17,163,500500,35.177453027139876,88.1,41.5
998,"Census Tract 5009, St. Clair County, Illinois",57.1,1681,474,10.4,17,163,500900,28.19750148720999,89.6,42.9
999,"Census Tract 5014, St. Clair County, Illinois",22.1,1081,511,17.5,17,163,501400,47.27104532839963,82.5,77.9
1000,"Census Tract 5023, St. Clair County, Illinois",29.7,2532,1335,14.0,17,163,502300,52.725118483412324,86.0,70.3
1001,"Census Tract 5034.11, St. Clair County, Illinois",18.7,1317,781,5.1,17,163,503411,59.301442672741075,94.9,81.3
1002,"Census Tract 5038, St. Clair County, Illinois",5.4,308,293,8.9,17,163,503800,95.12987012987013,91.1,94.6
1003,"Census Tract 5040.01, St. Clair County, Illinois",7.4,1900,1483,2.8,17,163,504001,78.05263157894737,97.2,92.6
1004,"Census Tract 5013, St. Clair County, Illinois",33.8,1257,599,19.2,17,163,501300,47.65314240254575,80.8,66.2
1005,"Census Tract 5016.02, St. Clair County, Illinois",10.7,2269,1646,5.3,17,163,501602,72.54297047157337,94.7,89.3
1006,"Census Tract 5022, St. Clair County, Illinois",42.3,732,239,8.2,17,163,502200,32.650273224043715,91.8,57.7
1007,"Census Tract 5025, St. Clair County, Illinois",37.9,469,172,12.8,17,163,502500,36.67377398720683,87.2,62.1
1008,"Census Tract 5043.03, St. Clair County, Illinois",8.6,2777,2246,9.0,17,163,504303,80.87864602088585,91.0,91.4
1009,"Census Tract 5045, St. Clair County, Illinois",47.7,2001,924,14.3,17,163,504500,46.17691154422789,85.7,52.3
1010,"Census Tract 5015.01, St. Clair County, Illinois",13.0,801,538,7.6,17,163,501501,67.16604244694132,92.4,87.0
1011,"Census Tract 9570, Edwards County, Illinois",9.8,887,638,6.1,17,047,957000,71.92784667418263,93.9,90.2
1012,"Census Tract 9571, Edwards County, Illinois",15.5,1005,732,6.6,17,047,957100,72.83582089552239,93.4,84.5
1013,"Census Tract 9569, Edwards County, Illinois",9.1,918,700,4.0,17,047,956900,76.25272331154684,96.0,90.9
1014,"Census Tract 9775, Jasper County, Illinois",9.9,1472,1008,3.6,17,079,977500,68.47826086956522,96.4,90.1
1015,"Census Tract 9773, Jasper County, Illinois",5.6,1057,790,2.4,17,079,977300,74.73982970671712,97.6,94.4
1016,"Census Tract 9774, Jasper County, Illinois",23.1,1194,790,5.1,17,079,977400,66.1641541038526,94.9,76.9
1017,"Census Tract 504, Jefferson County, Illinois",17.3,1224,902,6.3,17,081,050400,73.69281045751634,93.7,82.7
1018,"Census Tract 510, Jefferson County, Illinois",45.0,567,350,17.7,17,081,051000,61.72839506172839,82.3,55.0
1019,"Census Tract 502, Jefferson County, Illinois",13.4,1162,825,9.2,17,081,050200,70.99827882960413,90.8,86.6
1020,"Census Tract 507, Jefferson County, Illinois",20.3,1781,1441,5.2,17,081,050700,80.90960134755754,94.8,79.7
1021,"Census Tract 508, Jefferson County, Illinois",16.3,1705,1270,6.8,17,081,050800,74.48680351906158,93.2,83.7
1022,"Census Tract 503, Jefferson County, Illinois",15.4,1773,1340,8.3,17,081,050300,75.57811618725324,91.7,84.6
1023,"Census Tract 511, Jefferson County, Illinois",28.3,1085,664,11.1,17,081,051100,61.19815668202765,88.9,71.7
1024,"Census Tract 505, Jefferson County, Illinois",25.0,1870,1306,6.4,17,081,050500,69.83957219251337,93.6,75.0
1025,"Census Tract 509, Jefferson County, Illinois",30.9,1094,822,8.4,17,081,050900,75.13711151736746,91.6,69.1
1026,"Census Tract 506, Jefferson County, Illinois",6.2,1361,1130,4.9,17,081,050600,83.02718589272594,95.1,93.8
1027,"Census Tract 501, Jefferson County, Illinois",10.2,1622,1169,5.8,17,081,050100,72.07151664611591,94.2,89.8
1028,"Census Tract 3204, Cook County, Illinois",9.3,660,592,3.6,17,031,320400,89.6969696969697,96.4,90.7
1029,"Census Tract 205, Cook County, Illinois",28.1,2144,1565,11.1,17,031,020500,72.99440298507463,88.9,71.9
1030,"Census Tract 318, Cook County, Illinois",8.8,936,826,3.0,17,031,031800,88.24786324786325,97.0,91.2
1031,"Census Tract 321, Cook County, Illinois",22.4,3788,2917,6.3,17,031,032100,77.0063357972545,93.7,77.6
1032,"Census Tract 401, Cook County, Illinois",10.0,1599,1398,2.8,17,031,040100,87.4296435272045,97.2,90.0
1033,"Census Tract 503, Cook County, Illinois",11.4,1076,956,7.3,17,031,050300,88.84758364312268,92.7,88.6
1034,"Census Tract 512, Cook County, Illinois",5.8,599,579,3.2,17,031,051200,96.661101836394,96.8,94.2
1035,"Census Tract 602, Cook County, Illinois",16.6,1107,975,4.2,17,031,060200,88.07588075880759,95.8,83.4
1036,"Census Tract 610, Cook County, Illinois",9.2,983,922,0.8,17,031,061000,93.79450661241098,99.2,90.8
1037,"Census Tract 624, Cook County, Illinois",4.5,671,587,3.2,17,031,062400,87.48137108792847,96.8,95.5
1038,"Census Tract 702, Cook County, Illinois",13.2,2013,1840,2.4,17,031,070200,91.40586189766518,97.6,86.8
1039,"Census Tract 703, Cook County, Illinois",12.8,1631,1555,3.8,17,031,070300,95.340282035561,96.2,87.2
1040,"Census Tract 106, Cook County, Illinois",24.4,2993,2231,6.1,17,031,010600,74.54059472101571,93.9,75.6
1041,"Census Tract 204, Cook County, Illinois",18.2,1743,1369,5.1,17,031,020400,78.5427423981641,94.9,81.8
1042,"Census Tract 310, Cook County, Illinois",7.1,1965,1728,5.3,17,031,031000,87.93893129770993,94.7,92.9
1043,"Census Tract 403, Cook County, Illinois",2.9,1079,979,7.0,17,031,040300,90.7321594068582,93.0,97.1
1044,"Census Tract 506, Cook County, Illinois",7.0,1093,1003,3.9,17,031,050600,91.76578225068619,96.1,93.0
1045,"Census Tract 605, Cook County, Illinois",19.4,742,413,0.9,17,031,060500,55.660377358490564,99.1,80.6
1046,"Census Tract 609, Cook County, Illinois",8.4,4690,4380,5.8,17,031,060900,93.39019189765459,94.2,91.6
1047,"Census Tract 618, Cook County, Illinois",10.4,716,647,3.6,17,031,061800,90.36312849162012,96.4,89.6
1048,"Census Tract 623, Cook County, Illinois",3.4,710,679,2.0,17,031,062300,95.63380281690141,98.0,96.6
1049,"Census Tract 704, Cook County, Illinois",12.5,1593,1148,0.0,17,031,070400,72.06528562460765,100.0,87.5
1050,"Census Tract 706, Cook County, Illinois",2.9,1297,1278,2.5,17,031,070600,98.53508095605243,97.5,97.1
1051,"Census Tract 4005, Cook County, Illinois",43.9,770,498,17.7,17,031,400500,64.67532467532467,82.3,56.1
1052,"Census Tract 4101, Cook County, Illinois",22.9,1186,944,10.8,17,031,410100,79.59527824620574,89.2,77.1
