,NAME,pov_rate,tot_hhld,tot_hhld_int,unemp_rate_25_64,state,county,tract,internet_rate,emp_rate_25_64,above_pov_rate
306,"Census Tract 8443.01, DuPage County, Illinois",10.8,3072,2591,1.5,17,043,844301,84.34244791666666,98.5,89.2
307,"Census Tract 8453, DuPage County, Illinois",3.9,987,908,1.8,17,043,845300,91.99594731509625,98.2,96.1
308,"Census Tract 8444.02, DuPage County, Illinois",7.2,1802,1482,5.4,17,043,844402,82.24195338512763,94.6,92.8
309,"Census Tract 8446.01, DuPage County, Illinois",4.2,1855,1395,4.1,17,043,844601,75.2021563342318,95.9,95.8
310,"Census Tract 9539, Hancock County, Illinois",12.1,871,573,2.0,17,067,953900,65.78645235361653,98.0,87.9
311,"Census Tract 9540, Hancock County, Illinois",7.7,978,749,3.2,17,067,954000,76.58486707566462,96.8,92.3
312,"Census Tract 31, Sangamon County, Illinois",2.6,2897,2647,2.5,17,167,003100,91.37038315498792,97.5,97.4
313,"Census Tract 32.01, Sangamon County, Illinois",3.0,1805,1612,2.6,17,167,003201,89.30747922437673,97.4,97.0
314,"Census Tract 36.01, Sangamon County, Illinois",2.1,1046,886,2.8,17,167,003601,84.7036328871893,97.2,97.9
315,"Census Tract 19, Sangamon County, Illinois",32.1,1597,1094,15.3,17,167,001900,68.50344395742016,84.7,67.9
316,"Census Tract 2.01, Sangamon County, Illinois",11.4,1128,906,2.9,17,167,000201,80.31914893617021,97.1,88.6
317,"Census Tract 16, Sangamon County, Illinois",54.3,1376,737,18.4,17,167,001600,53.56104651162791,81.6,45.7
318,"Census Tract 25, Sangamon County, Illinois",30.4,2346,1957,5.2,17,167,002500,83.41858482523445,94.8,69.6
319,"Census Tract 102, Jersey County, Illinois",7.2,1387,1039,5.9,17,083,010200,74.9098774333093,94.1,92.8
320,"Census Tract 9546, Putnam County, Illinois",8.4,1213,911,5.3,17,155,954600,75.1030502885408,94.7,91.6
321,"Census Tract 9545, Putnam County, Illinois",9.4,1225,874,4.6,17,155,954500,71.34693877551021,95.4,90.6
322,"Census Tract 9716, De Witt County, Illinois",8.7,1533,1166,2.3,17,039,971600,76.06001304631441,97.7,91.3
323,"Census Tract 9714, De Witt County, Illinois",14.1,1100,769,7.0,17,039,971400,69.9090909090909,93.0,85.9
324,"Census Tract 9715, De Witt County, Illinois",10.2,1182,892,2.3,17,039,971500,75.4653130287648,97.7,89.8
325,"Census Tract 9717, De Witt County, Illinois",13.6,1378,1027,8.9,17,039,971700,74.52830188679245,91.1,86.4
326,"Census Tract 9718, De Witt County, Illinois",19.6,1511,1116,7.8,17,039,971800,73.85837193911317,92.2,80.4
327,"Census Tract 9508, Fayette County, Illinois",17.1,1312,883,6.5,17,051,950800,67.30182926829268,93.5,82.9
328,"Census Tract 9506, Fayette County, Illinois",17.0,849,493,4.1,17,051,950600,58.06831566548881,95.9,83.0
329,"Census Tract 9510, Fayette County, Illinois",16.6,854,517,6.4,17,051,951000,60.53864168618267,93.6,83.4
330,"Census Tract 9505, Fayette County, Illinois",20.1,980,705,5.0,17,051,950500,71.93877551020408,95.0,79.9
331,"Census Tract 9509, Fayette County, Illinois",24.6,748,506,6.2,17,051,950900,67.64705882352942,93.8,75.4
332,"Census Tract 9511, Fayette County, Illinois",18.0,1113,733,3.8,17,051,951100,65.85804132973945,96.2,82.0
333,"Census Tract 2519, Cook County, Illinois",47.7,1601,803,25.6,17,031,251900,50.15615240474703,74.4,52.3
334,"Census Tract 8211.01, Cook County, Illinois",11.7,1403,1184,3.5,17,031,821101,84.39059158945118,96.5,88.3
335,"Census Tract 8202.02, Cook County, Illinois",9.7,1258,904,5.2,17,031,820202,71.86009538950715,94.8,90.3
336,"Census Tract 8203, Cook County, Illinois",17.1,1548,1117,3.0,17,031,820300,72.1576227390181,97.0,82.9
337,"Census Tract 8211.02, Cook County, Illinois",10.7,1269,997,9.3,17,031,821102,78.56579984239559,90.7,89.3
338,"Census Tract 8213, Cook County, Illinois",13.6,2159,1036,10.0,17,031,821300,47.98517832329782,90.0,86.4
339,"Census Tract 2605, Cook County, Illinois",40.6,514,245,11.2,17,031,260500,47.66536964980545,88.8,59.4
340,"Census Tract 407, Franklin County, Illinois",18.3,1783,1265,10.5,17,055,040700,70.9478407178912,89.5,81.7
341,"Census Tract 402, Franklin County, Illinois",16.7,1303,895,4.5,17,055,040200,68.68764389869531,95.5,83.3
342,"Census Tract 411, Franklin County, Illinois",14.1,1479,887,5.4,17,055,041100,59.972954699121026,94.6,85.9
343,"Census Tract 9734, Henderson County, Illinois",8.8,805,592,6.1,17,071,973400,73.54037267080746,93.9,91.2
344,"Census Tract 9733, Henderson County, Illinois",10.2,1071,702,1.5,17,071,973300,65.54621848739495,98.5,89.8
345,"Census Tract 9735, Henderson County, Illinois",13.8,1143,832,5.6,17,071,973500,72.79090113735784,94.4,86.2
346,"Census Tract 102, McDonough County, Illinois",9.0,804,617,7.3,17,109,010200,76.7412935323383,92.7,91.0
347,"Census Tract 109, McDonough County, Illinois",25.2,1340,891,12.7,17,109,010900,66.49253731343283,87.3,74.8
348,"Census Tract 110, McDonough County, Illinois",12.1,983,699,6.4,17,109,011000,71.1088504577823,93.6,87.9
349,"Census Tract 104, McDonough County, Illinois",45.5,1752,1283,5.1,17,109,010400,73.23059360730593,94.9,54.5
350,"Census Tract 106, McDonough County, Illinois",38.2,1058,774,11.8,17,109,010600,73.15689981096408,88.2,61.8
351,"Census Tract 101, McDonough County, Illinois",11.1,1347,934,8.3,17,109,010100,69.33927245731255,91.7,88.9
352,"Census Tract 107, McDonough County, Illinois",14.7,2161,1776,7.6,17,109,010700,82.18417399352151,92.4,85.3
353,"Census Tract 103, McDonough County, Illinois",7.5,858,749,4.8,17,109,010300,87.2960372960373,95.2,92.5
354,"Census Tract 111, McDonough County, Illinois",17.9,1142,731,7.6,17,109,011100,64.01050788091068,92.4,82.1
355,"Census Tract 105, McDonough County, Illinois",84.5,36,16,9.1,17,109,010500,44.44444444444444,90.9,15.5
356,"Census Tract 8701.01, McHenry County, Illinois",9.9,2843,2473,7.2,17,111,870101,86.98557861414,92.8,90.1
357,"Census Tract 8706.06, McHenry County, Illinois",14.7,1790,1438,5.3,17,111,870606,80.33519553072625,94.7,85.3
358,"Census Tract 8707.04, McHenry County, Illinois",5.9,1467,1335,2.6,17,111,870704,91.00204498977506,97.4,94.1
359,"Census Tract 8708.12, McHenry County, Illinois",7.1,1838,1636,5.3,17,111,870812,89.00979325353646,94.7,92.9
360,"Census Tract 8710.03, McHenry County, Illinois",11.6,1646,1412,2.3,17,111,871003,85.78371810449575,97.7,88.4
361,"Census Tract 8711.04, McHenry County, Illinois",3.7,5488,5377,2.8,17,111,871104,97.97740524781341,97.2,96.3
362,"Census Tract 8712.02, McHenry County, Illinois",14.4,2027,1762,6.4,17,111,871202,86.92649235323138,93.6,85.6
363,"Census Tract 8712.05, McHenry County, Illinois",6.4,1695,1541,5.5,17,111,871205,90.91445427728614,94.5,93.6
364,"Census Tract 8713.04, McHenry County, Illinois",4.4,1182,1110,0.7,17,111,871304,93.90862944162437,99.3,95.6
365,"Census Tract 8706.05, McHenry County, Illinois",7.2,2387,1978,2.2,17,111,870605,82.865521575199,97.8,92.8
366,"Census Tract 8707.03, McHenry County, Illinois",2.5,1746,1600,3.9,17,111,870703,91.63802978235968,96.1,97.5
367,"Census Tract 8712.01, McHenry County, Illinois",2.0,2542,2381,3.2,17,111,871201,93.66640440597955,96.8,98.0
368,"Census Tract 8704.02, McHenry County, Illinois",15.2,1884,1631,4.3,17,111,870402,86.57112526539278,95.7,84.8
369,"Census Tract 8706.04, McHenry County, Illinois",8.4,2322,2004,2.9,17,111,870604,86.30490956072352,97.1,91.6
370,"Census Tract 8708.10, McHenry County, Illinois",6.1,1708,1511,5.1,17,111,870810,88.46604215456675,94.9,93.9
371,"Census Tract 8503.02, Kane County, Illinois",16.4,1658,1389,6.7,17,089,850302,83.77563329312424,93.3,83.6
372,"Census Tract 8518.01, Kane County, Illinois",9.5,2498,2090,6.6,17,089,851801,83.66693354683747,93.4,90.5
373,"Census Tract 8523, Kane County, Illinois",7.5,1020,874,5.0,17,089,852300,85.68627450980392,95.0,92.5
374,"Census Tract 8524.01, Kane County, Illinois",5.0,2915,2794,3.0,17,089,852401,95.84905660377359,97.0,95.0
375,"Census Tract 8526.01, Kane County, Illinois",10.8,2947,2521,4.1,17,089,852601,85.54462164913471,95.9,89.2
376,"Census Tract 8533, Kane County, Illinois",22.9,1369,1111,3.6,17,089,853300,81.15412710007305,96.4,77.1
377,"Census Tract 8544, Kane County, Illinois",15.6,4838,4074,7.2,17,089,854400,84.20835055808186,92.8,84.4
