crdc_id,ncessch,year,fips,leaid,enrollment_crdc,teachers_certified_fte_crdc,counselors_fte_crdc,law_enforcement_fte_crdc,salaries_crdc,enrl_AP_crdc,enrl_AP_science_crdc,enrl_AP_math_crdc,enrl_AP_other_crdc,enrl_AP_language_crdc
173471003630,173471003630,2017,Illinois,1734710,450,32.000,0.000,0.000,2537822.000,0,0,0,0,0
173474000707,173474000707,2017,Illinois,1734740,546,43.000,0.000,0.000,4970281.000,0,0,0,0,0
173474003420,173474003420,2017,Illinois,1734740,385,25.200,0.000,0.000,3669926.250,0,0,0,0,0
173474003631,173474003631,2017,Illinois,1734740,493,35.200,0.000,0.000,4689472.500,0,0,0,0,0
173474003632,173474003632,2017,Illinois,1734740,625,32.500,0.000,0.000,4065684.750,0,0,0,0,0
173474003633,173474003633,2017,Illinois,1734740,487,35.700,0.000,0.000,5091160.500,0,0,0,0,0
173474003634,173474003634,2017,Illinois,1734740,378,26.000,0.000,0.000,4123004.000,0,0,0,0,0
173474003635,173474003635,2017,Illinois,1734740,538,32.000,1.000,0.000,4006178.000,0,0,0,0,0
173474003636,173474003636,2017,Illinois,1734740,571,32.800,0.000,0.000,4804889.500,0,0,0,0,0
173474003637,173474003637,2017,Illinois,1734740,576,47.000,0.000,1.000,5628637.500,0,0,0,0,0
173474003638,173474003638,2017,Illinois,1734740,400,35.000,0.000,0.000,3775216.250,0,0,0,0,0
173474003640,173474003640,2017,Illinois,1734740,539,31.700,0.000,0.000,3989695.500,0,0,0,0,0
173474003641,173474003641,2017,Illinois,1734740,663,37.500,0.000,0.000,4354205.000,0,0,0,0,0
173474003642,173474003642,2017,Illinois,1734740,518,35.600,0.000,0.000,4841102.500,0,0,0,0,0
173474003645,173474003645,2017,Illinois,1734740,703,43.800,0.000,0.000,4657603.000,0,0,0,0,0
173474003646,173474003646,2017,Illinois,1734740,699,47.000,0.000,1.000,6598089.000,0,0,0,0,0
173474003647,173474003647,2017,Illinois,1734740,433,35.700,0.000,0.000,4978747.500,0,0,0,0,0
173474003648,173474003648,2017,Illinois,1734740,492,34.000,0.000,0.000,4134383.000,0,0,0,0,0
173474003649,173474003649,2017,Illinois,1734740,425,27.000,0.000,0.000,3429149.750,0,0,0,0,0
173474003650,173474003650,2017,Illinois,1734740,766,39.000,0.000,0.000,4506774.500,0,0,0,0,0
173474003651,173474003651,2017,Illinois,1734740,440,25.500,0.000,0.000,4623889.500,0,0,0,0,0
173474003652,173474003652,2017,Illinois,1734740,444,31.500,0.000,0.000,4957862.500,0,0,0,0,0
173474003653,173474003653,2017,Illinois,1734740,666,46.000,0.000,1.000,5754074.000,0,0,0,0,0
173474003656,173474003656,2017,Illinois,1734740,470,29.000,0.000,0.000,3515659.250,0,0,0,0,0
173474003658,173474003658,2017,Illinois,1734740,580,31.800,0.000,0.000,3872039.000,0,0,0,0,0
173474004427,173474004427,2017,Illinois,1734740,478,33.000,0.000,0.000,4350247.000,0,0,0,0,0
173474004428,173474004428,2017,Illinois,1734740,632,43.000,1.000,1.000,5489272.500,0,0,0,0,0
173474005450,173474005450,2017,Illinois,1734740,466,30.000,0.000,0.000,3663747.750,0,0,0,0,0
173474006316,173474006316,2017,Illinois,1734740,565,28.000,0.000,0.000,-2.000,0,0,0,0,0
173477003659,173477003659,2017,Illinois,1734770,225,28.000,0.000,0.000,2662584.250,0,0,0,0,0
173487003662,173487003662,2017,Illinois,1734870,318,23.000,1.000,0.000,1432508.000,0,0,0,0,0
173499002974,173499002974,2017,Illinois,1734990,478,29.960,0.000,0.000,2784423.500,0,0,0,0,0
173499003664,173499003664,2017,Illinois,1734990,475,32.270,0.000,0.000,2768131.500,0,0,0,0,0
173499003665,173499003665,2017,Illinois,1734990,911,60.690,2.000,0.000,5230636.000,0,0,0,0,0
173499003666,173499003666,2017,Illinois,1734990,644,45.000,0.000,0.000,4316864.000,0,0,0,0,0
173499003667,173499003667,2017,Illinois,1734990,494,36.630,0.000,0.000,2897263.250,0,0,0,0,0
173499003668,173499003668,2017,Illinois,1734990,2158,142.650,8.000,0.000,12775305.000,353,89,58,311,0
173499003669,173499003669,2017,Illinois,1734990,428,29.940,0.000,0.000,2677625.000,0,0,0,0,0
173499003670,173499003670,2017,Illinois,1734990,541,37.400,0.000,0.000,3651432.250,0,0,0,0,0
173499005995,173499005995,2017,Illinois,1734990,717,58.000,2.000,0.000,5293541.500,0,0,0,0,0
173499006334,173499006334,2017,Illinois,1734990,182,9.080,0.000,0.000,-2.000,0,0,0,0,0
173501003671,173501003671,2017,Illinois,1735010,412,31.500,0.000,0.000,2355421.500,0,0,0,0,0
173501003673,173501003673,2017,Illinois,1735010,404,27.300,0.000,0.000,1923074.375,0,0,0,0,0
173501003674,173501003674,2017,Illinois,1735010,559,41.500,2.000,0.000,3264294.500,0,0,0,0,0
173501004822,173501004822,2017,Illinois,1735010,509,33.900,0.000,0.000,2549816.000,0,0,0,0,0
173510003676,173510003676,2017,Illinois,1735100,74,8.750,0.000,0.000,603025.000,0,0,0,0,0
173516003679,173516003679,2017,Illinois,1735160,389,30.000,1.000,0.000,1740740.375,0,0,0,0,0
173516003680,173516003680,2017,Illinois,1735160,578,37.000,1.000,0.000,2386994.750,0,0,0,0,0
173519003681,173519003681,2017,Illinois,1735190,694,47.000,3.000,0.000,3258592.250,0,0,0,0,0
173522003682,173522003682,2017,Illinois,1735220,200,17.500,0.000,0.000,1416154.875,0,0,0,0,0
173522003683,173522003683,2017,Illinois,1735220,137,7.200,0.000,0.000,714053.062,0,0,0,0,0
173522003684,173522003684,2017,Illinois,1735220,144,9.450,0.000,0.000,949290.312,0,0,0,0,0
173531003688,173531003688,2017,Illinois,1735310,68,4.000,1.000,0.000,105499.000,0,0,0,0,0
173531003689,173531003689,2017,Illinois,1735310,119,16.000,1.000,0.000,257890.000,0,0,0,0,0
173531004825,173531004825,2017,Illinois,1735310,296,21.000,1.000,0.000,581951.000,0,0,0,0,0
173534003690,173534003690,2017,Illinois,1735340,364,26.000,0.000,0.000,2287903.000,0,0,0,0,0
173537003691,173537003691,2017,Illinois,1735370,267,21.000,0.000,0.170,784498.000,0,0,0,0,0
173537003692,173537003692,2017,Illinois,1735370,195,12.000,0.000,0.170,523698.000,0,0,0,0,0
173537003693,173537003693,2017,Illinois,1735370,701,44.500,2.000,0.170,2110945.000,72,0,29,68,0
173537003695,173537003695,2017,Illinois,1735370,185,11.500,0.000,0.170,541616.000,0,0,0,0,0
173537004314,173537004314,2017,Illinois,1735370,459,33.000,1.000,0.170,1699599.000,0,0,0,0,0
173537004741,173537004741,2017,Illinois,1735370,261,20.500,0.000,0.170,829608.000,0,0,0,0,0
173540003696,173540003696,2017,Illinois,1735400,804,51.910,0.000,0.000,3134916.000,0,0,0,0,0
173546003698,173546003698,2017,Illinois,1735460,434,47.000,0.000,0.000,2697960.250,0,0,0,0,0
173546003699,173546003699,2017,Illinois,1735460,423,43.000,0.000,0.000,2111131.500,0,0,0,0,0
173546003700,173546003700,2017,Illinois,1735460,506,51.000,0.000,0.000,3398204.500,0,0,0,0,0
173561003710,173561003710,2017,Illinois,1735610,63,6.000,0.000,0.000,487180.125,4,0,1,3,0
173561004827,173561004827,2017,Illinois,1735610,130,7.000,0.000,0.000,786308.750,0,0,0,0,0
173561004828,173561004828,2017,Illinois,1735610,63,4.000,0.000,0.000,599036.750,0,0,0,0,0
173564003711,173564003711,2017,Illinois,1735640,416,40.000,0.000,0.000,2734704.000,0,0,0,0,0
173564003712,173564003712,2017,Illinois,1735640,772,53.000,0.000,0.000,4022180.500,0,0,0,0,0
173564003713,173564003713,2017,Illinois,1735640,289,29.000,0.000,0.000,2114111.000,0,0,0,0,0
173577005019,173577005019,2017,Illinois,1735770,278,17.000,0.500,0.000,1164617.000,0,0,0,0,0
173582003021,173582003021,2017,Illinois,1735820,221,20.500,0.500,0.500,1829062.375,0,0,0,0,0
173582003727,173582003727,2017,Illinois,1735820,273,23.500,0.000,0.500,1914094.125,0,0,0,0,0
173585003728,173585003728,2017,Illinois,1735850,447,37.500,2.000,0.000,5355934.000,50,0,0,51,0
173594003730,173594003730,2017,Illinois,1735940,190,15.790,1.000,0.000,1001629.000,42,0,0,42,0
173594004830,173594004830,2017,Illinois,1735940,271,19.800,0.900,0.000,862119.000,0,0,0,0,0
173594004831,173594004831,2017,Illinois,1735940,144,8.720,0.100,0.000,536637.000,0,0,0,0,0
173597000455,173597000455,2017,Illinois,1735970,208,20.000,1.000,0.000,1356583.750,0,0,0,0,0
