year,date,statefips,countyfips,ctfips,latitude,longitude,ds_pm_pred,ds_pm_stdd
2016,05JAN2016,17,43,17043846311,41.7343,-88.05233,11.6201,8.8804
2016,05JAN2016,17,31,17031440700,41.73474,-87.60968,10.9304,7.1306
2016,05JAN2016,17,31,17031480200,41.73512,-87.58987,11.0646,7.6793
2016,05JAN2016,17,31,17031480100,41.73525,-87.57566,10.8372,7.2847
2016,05JAN2016,17,31,17031460700,41.73558,-87.54926,10.7707,6.8654
2016,05JAN2016,17,31,17031460600,41.73563,-87.55949,10.8922,7.3387
2016,05JAN2016,17,43,17043846207,41.73622,-88.14078,11.5795,9.4921
2016,05JAN2016,17,43,17043846524,41.73663,-88.17706,11.4258,9.3074
2016,05JAN2016,17,89,17089854400,41.73764,-88.28179,11.4192,9.1068
2016,05JAN2016,17,31,17031820606,41.73775,-87.85414,11.2102,8.1449
2016,05JAN2016,17,31,17031820605,41.73798,-87.83038,11.3358,8.167
2016,05JAN2016,17,31,17031700402,41.73824,-87.71186,11.4221,8.4964
2016,05JAN2016,17,31,17031821101,41.73831,-87.76218,11.3518,8.2126
2016,05JAN2016,17,31,17031700302,41.73838,-87.73131,11.5942,8.6374
2016,05JAN2016,17,89,17089854302,41.7385,-88.29832,11.5679,9.5573
2016,05JAN2016,17,31,17031700502,41.73886,-87.68877,10.9805,7.5671
2016,05JAN2016,17,43,17043846514,41.73952,-88.21974,11.4515,9.0731
2016,05JAN2016,17,31,17031711100,41.73952,-87.65827,11.3535,7.9928
2016,05JAN2016,17,31,17031711000,41.73966,-87.6486,10.8505,7.5953
2016,05JAN2016,17,43,17043846308,41.73977,-88.03553,11.2576,8.995
2016,05JAN2016,17,43,17043845809,41.73981,-88.02168,11.4718,8.576
2016,05JAN2016,17,31,17031460301,41.74002,-87.55637,10.7609,7.0781
2016,05JAN2016,17,31,17031711200,41.74058,-87.66978,11.0601,7.8405
2016,05JAN2016,17,31,17031440202,41.74096,-87.60974,11.0174,7.4593
2016,05JAN2016,17,31,17031440102,41.74096,-87.6011,10.8587,7.4705
2016,05JAN2016,17,31,17031460200,41.74138,-87.54697,10.4891,6.912
2016,05JAN2016,17,31,17031821002,41.74155,-87.77639,11.3781,7.8992
2016,05JAN2016,17,31,17031450300,41.74194,-87.57907,10.7792,7.1764
2016,05JAN2016,17,43,17043846515,41.74209,-88.24053,11.5645,8.9953
2016,05JAN2016,17,31,17031821001,41.74219,-87.79135,11.3893,8.1254
2016,05JAN2016,17,31,17031710900,41.74221,-87.63971,10.9134,7.7188
2016,05JAN2016,17,31,17031842400,41.74248,-87.63002,10.9848,7.584
2016,05JAN2016,17,43,17043846304,41.74275,-88.08285,11.3846,9.1595
2016,05JAN2016,17,31,17031821102,41.7429,-87.74917,11.3961,7.9775
2016,05JAN2016,17,89,17089854100,41.74299,-88.32094,11.4509,9.2114
2016,05JAN2016,17,31,17031460100,41.7431,-87.53993,10.7528,6.8936
2016,05JAN2016,17,31,17031440300,41.74371,-87.61956,11.1248,7.4909
2016,05JAN2016,17,89,17089854200,41.74449,-88.3159,11.4629,9.4314
2016,05JAN2016,17,31,17031460400,41.7445,-87.56369,10.6999,6.8763
2016,05JAN2016,17,43,17043846310,41.74518,-88.04464,11.4764,8.5414
2016,05JAN2016,17,31,17031700401,41.74554,-87.71203,11.2894,7.7404
2016,05JAN2016,17,31,17031700301,41.74566,-87.7317,11.3749,7.9764
2016,05JAN2016,17,43,17043845802,41.74579,-87.99958,11.7488,8.8452
2016,05JAN2016,17,31,17031834300,41.74583,-87.59173,10.7211,7.2795
2016,05JAN2016,17,43,17043846203,41.74587,-88.11497,11.5327,8.9854
2016,05JAN2016,17,43,17043846206,41.74604,-88.13644,11.2843,8.3853
2016,05JAN2016,17,31,17031700501,41.74622,-87.6903,11.0524,7.5301
2016,05JAN2016,17,89,17089854301,41.74666,-88.30181,11.445,9.0807
2016,05JAN2016,17,43,17043846518,41.74667,-88.25147,11.4572,9.8918
2016,05JAN2016,17,43,17043845811,41.74675,-87.95364,11.1672,8.4253
2016,05JAN2016,17,31,17031460500,41.74691,-87.57263,10.7322,7.1479
2016,05JAN2016,17,31,17031460302,41.74708,-87.55737,11.0791,7.615
2016,05JAN2016,17,31,17031710700,41.74712,-87.65688,11.1915,7.6804
2016,05JAN2016,17,31,17031710500,41.74753,-87.67069,11.3536,8.0574
2016,05JAN2016,17,31,17031710600,41.74765,-87.66092,11.0813,7.3709
2016,05JAN2016,17,31,17031710800,41.74783,-87.64883,11.0207,7.5996
2016,05JAN2016,17,31,17031820201,41.74796,-87.89623,11.6129,9.1643
2016,05JAN2016,17,31,17031440201,41.74821,-87.61005,11.206,7.9833
2016,05JAN2016,17,31,17031440101,41.7486,-87.60131,10.8917,7.1048
2016,05JAN2016,17,43,17043845902,41.74917,-87.93074,11.3404,8.7366
2016,05JAN2016,17,43,17043845810,41.74964,-87.96616,11.777,8.9214
2016,05JAN2016,17,89,17089854503,41.74969,-88.42554,11.5105,9.1898
2016,05JAN2016,17,31,17031820604,41.7498,-87.82696,11.4925,8.6634
2016,05JAN2016,17,43,17043846510,41.75074,-88.21975,11.3189,9.5352
2016,05JAN2016,17,43,17043846522,41.75133,-88.1916,11.5956,9.0175
2016,05JAN2016,17,89,17089854001,41.75256,-88.36082,11.3179,9.1676
2016,05JAN2016,17,89,17089853600,41.75276,-88.29806,11.3781,8.9535
2016,05JAN2016,17,31,17031700200,41.75299,-87.72367,11.3522,8.2879
2016,05JAN2016,17,31,17031710100,41.75339,-87.64198,11.0121,7.4586
2016,05JAN2016,17,89,17089854700,41.75351,-88.32557,11.4081,9.1976
2016,05JAN2016,17,31,17031431301,41.75353,-87.5602,10.8272,7.278
2016,05JAN2016,17,31,17031700100,41.75361,-87.69517,11.0817,7.6098
2016,05JAN2016,17,31,17031820502,41.75392,-87.80478,11.0916,7.9437
2016,05JAN2016,17,31,17031710400,41.75393,-87.6709,11.3137,7.8744
2016,05JAN2016,17,31,17031820902,41.75397,-87.75297,11.1132,8.0079
2016,05JAN2016,17,31,17031710300,41.75408,-87.6611,11.0815,8.0003
2016,05JAN2016,17,31,17031820603,41.75429,-87.84333,11.5053,8.2484
2016,05JAN2016,17,31,17031691200,41.75444,-87.63219,10.9936,7.6141
2016,05JAN2016,17,43,17043846305,41.7545,-88.05381,11.214,8.7659
2016,05JAN2016,17,43,17043846523,41.75465,-88.15777,11.3481,8.9431
2016,05JAN2016,17,31,17031691300,41.75465,-87.61988,11.1566,7.6924
2016,05JAN2016,17,31,17031691400,41.75483,-87.61018,11.0793,7.3373
2016,05JAN2016,17,31,17031691500,41.75506,-87.60029,10.945,7.5059
2016,05JAN2016,17,31,17031710200,41.75513,-87.65142,11.1658,7.7054
2016,05JAN2016,17,31,17031431200,41.7553,-87.57119,10.762,7.298
2016,05JAN2016,17,31,17031834200,41.75556,-87.58362,10.7598,6.9402
2016,05JAN2016,17,89,17089853900,41.75791,-88.34414,11.5607,8.9906
2016,05JAN2016,17,31,17031431400,41.75802,-87.55238,10.7427,7.1602
2016,05JAN2016,17,43,17043845703,41.75808,-88.02313,11.501,8.8871
2016,05JAN2016,17,31,17031431302,41.75838,-87.5628,10.5984,6.8475
2016,05JAN2016,17,43,17043846521,41.75874,-88.17486,11.7069,9.2657
2016,05JAN2016,17,43,17043845505,41.75891,-87.98379,11.3927,8.2647
2016,05JAN2016,17,43,17043845704,41.75935,-88.00741,11.3772,8.694
2016,05JAN2016,17,43,17043846517,41.75938,-88.24872,11.494,9.6279
2016,05JAN2016,17,43,17043845507,41.76002,-87.96507,11.4566,8.5534
2016,05JAN2016,17,89,17089853400,41.76042,-88.29813,11.7979,9.7109
2016,05JAN2016,17,31,17031430900,41.76063,-87.5812,10.8952,7.3462
2016,05JAN2016,17,31,17031430800,41.76075,-87.57131,10.7759,7.3418
2016,05JAN2016,17,31,17031661100,41.76078,-87.70265,11.228,7.8748
2016,05JAN2016,17,31,17031681300,41.76118,-87.6399,11.0138,7.3624
2016,05JAN2016,17,31,17031672000,41.76123,-87.67108,11.3416,7.7311
2016,05JAN2016,17,31,17031820501,41.76131,-87.82101,11.4587,8.3972
2016,05JAN2016,17,31,17031671900,41.76136,-87.66125,11.239,8.1417
2016,05JAN2016,17,31,17031671800,41.7614,-87.65646,11.0597,7.1348
2016,05JAN2016,17,31,17031681400,41.76159,-87.64928,11.1849,7.7259
2016,05JAN2016,17,31,17031691100,41.76171,-87.62988,11.2394,7.6226
2016,05JAN2016,17,89,17089853500,41.7618,-88.28649,11.6288,9.41
2016,05JAN2016,17,43,17043846509,41.76183,-88.21921,11.8237,10.0981
2016,05JAN2016,17,31,17031661000,41.76183,-87.68506,10.9505,7.5061
2016,05JAN2016,17,31,17031691000,41.76196,-87.62005,10.7616,7.3251
2016,05JAN2016,17,31,17031690900,41.76212,-87.61036,10.7881,7.3529
2016,05JAN2016,17,43,17043846208,41.76218,-88.12803,11.7742,9.2372
2016,05JAN2016,17,31,17031430400,41.7622,-87.59026,10.9184,7.5943
2016,05JAN2016,17,31,17031650500,41.76222,-87.73201,11.5104,8.2839
2016,05JAN2016,17,31,17031820901,41.76289,-87.77446,11.2844,8.3612
2016,05JAN2016,17,31,17031430500,41.76432,-87.58128,11.0241,7.9053
2016,05JAN2016,17,31,17031430600,41.76443,-87.57138,10.7897,6.9501
2016,05JAN2016,17,43,17043846313,41.76462,-88.08443,11.6353,8.9155
2016,05JAN2016,17,89,17089852904,41.76464,-88.27224,11.2675,8.6879
2016,05JAN2016,17,31,17031430700,41.76465,-87.56356,10.7031,7.3731
2016,05JAN2016,17,31,17031650400,41.76529,-87.71719,11.0843,7.8526
2016,05JAN2016,17,43,17043846205,41.76553,-88.11678,11.3392,9.0657
2016,05JAN2016,17,89,17089853200,41.7658,-88.3202,11.4147,9.1261
2016,05JAN2016,17,43,17043846307,41.76592,-88.03857,11.4718,8.898
2016,05JAN2016,17,43,17043846209,41.766,-88.13845,11.6451,9.6098
2016,05JAN2016,17,31,17031841800,41.76629,-87.59939,10.9259,7.0657
2016,05JAN2016,17,89,17089853100,41.76636,-88.33959,11.4197,8.9264
2016,05JAN2016,17,43,17043846519,41.76764,-88.19389,11.652,8.8041
2016,05JAN2016,17,43,17043845508,41.76775,-87.95575,11.2719,8.4725
2016,05JAN2016,17,31,17031660900,41.7681,-87.69799,11.1651,7.7606
2016,05JAN2016,17,31,17031690500,41.76814,-87.61213,10.9911,7.5376
2016,05JAN2016,17,31,17031671500,41.76818,-87.66962,10.9305,7.6814
2016,05JAN2016,17,31,17031430102,41.76866,-87.56567,10.751,7.1118
2016,05JAN2016,17,31,17031690300,41.76871,-87.62901,10.8922,7.4034
2016,05JAN2016,17,31,17031681100,41.76878,-87.64937,11.2324,7.8459
2016,05JAN2016,17,43,17043846202,41.76894,-88.1047,11.6885,9.3496
2016,05JAN2016,17,31,17031681200,41.76919,-87.63851,10.6915,7.769
2016,05JAN2016,17,89,17089853300,41.76924,-88.30184,11.4388,9.0544
2016,05JAN2016,17,31,17031690400,41.76925,-87.62022,11.1154,7.2649
2016,05JAN2016,17,31,17031671600,41.76951,-87.66149,10.8162,7.3733
2016,05JAN2016,17,31,17031430300,41.7697,-87.58932,10.8123,7.1328
2016,05JAN2016,17,31,17031430200,41.76976,-87.58136,10.9124,7.1005
2016,05JAN2016,17,31,17031430101,41.76987,-87.57397,10.8323,7.1017
2016,05JAN2016,17,43,17043845506,41.77021,-87.9813,11.8184,9.1438
2016,05JAN2016,17,31,17031421200,41.77063,-87.60897,11.0922,7.6086
2016,05JAN2016,17,43,17043846504,41.77157,-88.16267,11.8231,9.7949
2016,05JAN2016,17,43,17043846507,41.77173,-88.23359,11.4895,9.2039
2016,05JAN2016,17,89,17089853006,41.7723,-88.35452,11.2836,8.9295
2016,05JAN2016,17,31,17031834900,41.7723,-87.65675,10.995,7.4477
2016,05JAN2016,17,89,17089853005,41.7728,-88.36744,11.7074,9.6614
2016,05JAN2016,17,43,17043845702,41.77295,-88.00648,11.6126,9.3254
2016,05JAN2016,17,31,17031660800,41.77361,-87.69322,11.1482,7.7803
2016,05JAN2016,17,31,17031671400,41.7738,-87.67624,11.1099,7.7759
2016,05JAN2016,17,31,17031660700,41.77382,-87.68109,11.0264,8.0538
2016,05JAN2016,17,31,17031671300,41.7739,-87.67134,11.2991,8.2316
2016,05JAN2016,17,43,17043845402,41.77468,-87.93899,11.649,8.8785
2016,05JAN2016,17,31,17031640800,41.77479,-87.73967,11.5849,8.357
2016,05JAN2016,17,31,17031650301,41.77492,-87.72994,11.2702,8.2755
2016,05JAN2016,17,31,17031650302,41.77509,-87.71773,10.7263,7.6002
2016,05JAN2016,17,31,17031660500,41.77524,-87.70795,11.428,7.9817
2016,05JAN2016,17,31,17031820202,41.77549,-87.85029,11.6596,8.8434
2016,05JAN2016,17,31,17031640500,41.7757,-87.79098,11.4443,8.4717
2016,05JAN2016,17,43,17043846315,41.77573,-88.064,11.8093,8.7331
2016,05JAN2016,17,89,17089853007,41.77579,-88.33995,11.882,9.9811
2016,05JAN2016,17,43,17043845701,41.77605,-88.02459,11.5246,8.7873
2016,05JAN2016,17,31,17031640600,41.77605,-87.77144,11.5879,8.9386
2016,05JAN2016,17,31,17031681000,41.77607,-87.64955,10.976,7.5748
2016,05JAN2016,17,31,17031843900,41.77621,-87.57958,10.7027,7.1995
2016,05JAN2016,17,31,17031820101,41.77632,-87.90321,11.3636,7.9709
2016,05JAN2016,17,31,17031640700,41.77642,-87.75192,11.432,8.3753
2016,05JAN2016,17,31,17031680900,41.77644,-87.63764,11.0116,7.5682
